_id,periodo,provincia,tipo_de_segmento_de_mercado_gas,Consumo (MWh),Total
1,2009,Almería,Consumo eléctrico,0.0,218669.0
2,2009,Almería,Consumo Industrial,179860.0,218669.0
3,2009,Almería,Consumo Doméstico  Comercial,38809.0,218669.0
4,2009,Cádiz,Consumo eléctrico,22611866.0,29337174.0
5,2009,Cádiz,Consumo Industrial,6563640.0,29337174.0
6,2009,Cádiz,Consumo Doméstico  Comercial,161668.0,29337174.0
7,2009,Córdoba,Consumo eléctrico,0.0,1644046.0
8,2009,Córdoba,Consumo Industrial,1427288.0,1644046.0
9,2009,Córdoba,Consumo Doméstico  Comercial,216758.0,1644046.0
10,2009,Granada,Consumo eléctrico,0.0,2007936.0
11,2009,Granada,Consumo Industrial,1733208.0,2007936.0
12,2009,Granada,Consumo Doméstico  Comercial,274728.0,2007936.0
13,2009,Huelva,Consumo eléctrico,12472723.0,23393269.0
14,2009,Huelva,Consumo Industrial,10826843.0,23393269.0
15,2009,Huelva,Consumo Doméstico  Comercial,93703.0,23393269.0
16,2009,Jaén,Consumo eléctrico,0.0,2830181.0
17,2009,Jaén,Consumo Industrial,2700324.0,2830181.0
18,2009,Jaén,Consumo Doméstico  Comercial,129857.0,2830181.0
19,2009,Málaga,Consumo eléctrico,609106.0,1933771.0
20,2009,Málaga,Consumo Industrial,984312.0,1933771.0
21,2009,Málaga,Consumo Doméstico  Comercial,340353.0,1933771.0
22,2009,Sevilla,Consumo eléctrico,0.0,3732905.0
23,2009,Sevilla,Consumo Industrial,3192995.0,3732905.0
24,2009,Sevilla,Consumo Doméstico  Comercial,539910.0,3732905.0
25,2009,Huesca,Consumo eléctrico,0.0,3342573.0
26,2009,Huesca,Consumo Industrial,2921201.0,3342573.0
27,2009,Huesca,Consumo Doméstico  Comercial,421372.0,3342573.0
28,2009,Teruel,Consumo eléctrico,3842770.0,5033171.0
29,2009,Teruel,Consumo Industrial,1038686.0,5033171.0
30,2009,Teruel,Consumo Doméstico  Comercial,151715.0,5033171.0
31,2009,Zaragoza,Consumo eléctrico,9442154.0,19777823.0
32,2009,Zaragoza,Consumo Industrial,8424394.0,19777823.0
33,2009,Zaragoza,Consumo Doméstico  Comercial,1911275.0,19777823.0
34,2009,Asturias,Consumo eléctrico,2813745.0,10174239.0
35,2009,Asturias,Consumo Industrial,5472304.0,10174239.0
36,2009,Asturias,Consumo Doméstico  Comercial,1888190.0,10174239.0
37,2009,"Balears, Illes",Consumo eléctrico,0.0,607436.0
38,2009,"Balears, Illes",Consumo Industrial,63398.0,607436.0
39,2009,"Balears, Illes",Consumo Doméstico  Comercial,544038.0,607436.0
40,2009,Cantabria,Consumo eléctrico,0.0,7474524.0
41,2009,Cantabria,Consumo Industrial,6482581.0,7474524.0
42,2009,Cantabria,Consumo Doméstico  Comercial,991943.0,7474524.0
43,2009,Albacete,Consumo eléctrico,0.0,1189289.0
44,2009,Albacete,Consumo Industrial,802302.0,1189289.0
45,2009,Albacete,Consumo Doméstico  Comercial,386987.0,1189289.0
46,2009,Ciudad Real,Consumo eléctrico,829902.0,6364394.0
47,2009,Ciudad Real,Consumo Industrial,5089193.0,6364394.0
48,2009,Ciudad Real,Consumo Doméstico  Comercial,445299.0,6364394.0
49,2009,Cuenca,Consumo eléctrico,0.0,715174.0
