nombre_provincia,Nombre,Codigo,Mediana consumo anual,Viviendas con bajo consumo,Viviendas con consumo entre 1.001 y 2.000 kwh,Viviendas con consumo entre 2.001 y 3.000 kwh,Viviendas con consumo entre 3.001 y 4.000 kwh,Viviendas con consumo entre 4.001 y 5.000 kwh,Viviendas con consumo entre 5.001 y 6.000 kwh,Viviendas con consumo entre 6.001 y 7.000 kwh,Viviendas con consumo entre 7.001 y 8.000 kwh,Viviendas con consumo entre 751 y 1.000 kwh,Viviendas con consumo entre 8.001 y 9.000 kwh,Viviendas con consumo entre 9.001 y 10.000 kwh,Viviendas con consumo mayor de 10.000 kwh,Viviendas de uso esporádico,Viviendas de uso esporádico (entre 251 y 500 kwh),Viviendas de uso esporádico (entre 501 y 750 kwh),Viviendas totales,Viviendas vacías,prov_mediana_consumo_anual,prov_viviendas_con_bajo_consumo,prov_viviendas_con_consumo_entre_1.001_y_2.000_kwh,prov_viviendas_con_consumo_entre_2.001_y_3.000_kwh,prov_viviendas_con_consumo_entre_3.001_y_4.000_kwh,prov_viviendas_con_consumo_entre_4.001_y_5.000_kwh,prov_viviendas_con_consumo_entre_5.001_y_6.000_kwh,prov_viviendas_con_consumo_entre_6.001_y_7.000_kwh,prov_viviendas_con_consumo_entre_7.001_y_8.000_kwh,prov_viviendas_con_consumo_entre_751_y_1.000_kwh,prov_viviendas_con_consumo_entre_8.001_y_9.000_kwh,prov_viviendas_con_consumo_entre_9.001_y_10.000_kwh,prov_viviendas_con_consumo_mayor_de_10.000_kwh,prov_viviendas_de_uso_esporádico,prov_viviendas_de_uso_esporádico_(entre_251_y_500_kwh),prov_viviendas_de_uso_esporádico_(entre_501_y_750_kwh),prov_viviendas_totales,prov_viviendas_vacías
Albacete,Albacete *,2003,1997,3050,25348,20250,9847,4122,1836,1007,604,5284,414,312,739,8663,4233,4430,86881,5405,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Alcalá del Júcar,2007,1576,160,243,155,82,53,32,24,8,87,7,8,22,251,156,95,1504,372,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Alcaraz,2008,1729,151,200,137,83,58,32,17,15,69,10,10,19,214,116,98,1562,547,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Almansa,2009,2247,511,3085,2736,1603,843,441,234,183,669,125,88,228,1236,642,594,13292,1310,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Alpera,2010,2109,81,266,245,162,90,47,22,13,76,7,6,26,213,108,105,1607,353,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Balazote *,2012,2375,68,250,229,177,95,56,33,16,64,8,7,24,154,79,75,1359,178,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Barrax,2015,2443,62,178,158,134,98,53,28,21,45,7,9,30,140,70,70,1215,252,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Bonete,2018,2160,21,120,111,74,40,16,9,8,30,3,6,16,82,40,42,689,153,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Bonillo (El),2019,1974,199,339,305,184,90,51,18,17,91,14,6,37,303,173,130,2218,564,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Casas de Juan Núñez,2021,2293,54,136,113,102,49,28,14,14,41,9,6,16,98,48,50,863,183,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Casas-Ibáñez *,2024,2404,147,500,474,337,197,78,50,35,128,33,33,85,297,162,135,2756,362,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Caudete,2025,2130,347,1313,1039,640,361,193,145,71,315,52,36,77,668,333,335,6365,1108,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Cenizate *,2026,2472,33,111,103,68,52,23,17,14,27,7,9,17,84,49,35,670,105,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Chinchilla de Monte-Aragón,2029,1857,215,720,524,288,148,71,43,31,213,18,20,36,429,241,188,3369,613,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Elche de la Sierra,2030,1962,343,487,423,285,172,92,49,27,165,13,16,32,492,284,208,3823,1227,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Fuente-Álamo,2033,2400,77,254,257,164,115,74,28,21,70,9,3,19,185,90,95,1598,322,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Fuentealbilla,2034,2360,85,202,181,124,77,53,28,17,67,21,18,41,162,95,67,1448,372,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Gineta (La),2035,2290,67,281,275,200,107,42,32,24,64,13,8,22,192,96,96,1555,228,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
Albacete,Hellín,2037,2252,665,3387,3046,2115,1057,524,297,184,788,94,52,181,1628,846,782,16661,2643,2051,12575,52187,42799,24692,12319,6028,3455,2173,12568,1503,1098,3016,27130,14402,12728,241313,39770
