provincia,nombre_municipio,codigo_municipio,anio,nacionalidad,cantidad (personas)
A Coruña,Abegondo,15001,2021,Total,228.0
A Coruña,Abegondo,15001,2022,Total,275.0
A Coruña,Abegondo,15001,2023,Total,215.0
A Coruña,Abegondo,15001,2024,Total,249.0
A Coruña,Ames,15002,2021,Total,1322.0
A Coruña,Ames,15002,2022,Total,1482.0
A Coruña,Ames,15002,2023,Total,1379.0
A Coruña,Ames,15002,2024,Total,1490.0
A Coruña,Aranga,15003,2021,Total,66.0
A Coruña,Aranga,15003,2022,Total,66.0
A Coruña,Aranga,15003,2023,Total,79.0
A Coruña,Aranga,15003,2024,Total,89.0
A Coruña,Ares,15004,2021,Total,293.0
A Coruña,Ares,15004,2022,Total,359.0
A Coruña,Ares,15004,2023,Total,277.0
A Coruña,Ares,15004,2024,Total,310.0
A Coruña,Arteixo,15005,2021,Total,1351.0
A Coruña,Arteixo,15005,2022,Total,1441.0
A Coruña,Arteixo,15005,2023,Total,1526.0
A Coruña,Arteixo,15005,2024,Total,1408.0
A Coruña,Arzúa,15006,2021,Total,156.0
A Coruña,Arzúa,15006,2022,Total,172.0
A Coruña,Arzúa,15006,2023,Total,158.0
A Coruña,Arzúa,15006,2024,Total,180.0
A Coruña,"Baña, A",15007,2021,Total,84.0
A Coruña,"Baña, A",15007,2022,Total,146.0
A Coruña,"Baña, A",15007,2023,Total,108.0
A Coruña,"Baña, A",15007,2024,Total,75.0
A Coruña,Bergondo,15008,2021,Total,405.0
A Coruña,Bergondo,15008,2022,Total,428.0
A Coruña,Bergondo,15008,2023,Total,327.0
A Coruña,Bergondo,15008,2024,Total,417.0
A Coruña,Betanzos,15009,2021,Total,520.0
A Coruña,Betanzos,15009,2022,Total,522.0
A Coruña,Betanzos,15009,2023,Total,594.0
A Coruña,Betanzos,15009,2024,Total,625.0
A Coruña,Boimorto,15010,2021,Total,32.0
A Coruña,Boimorto,15010,2022,Total,45.0
A Coruña,Boimorto,15010,2023,Total,37.0
A Coruña,Boimorto,15010,2024,Total,59.0
A Coruña,Boiro,15011,2021,Total,428.0
A Coruña,Boiro,15011,2022,Total,443.0
A Coruña,Boiro,15011,2023,Total,467.0
A Coruña,Boiro,15011,2024,Total,441.0
A Coruña,Boqueixón,15012,2021,Total,126.0
A Coruña,Boqueixón,15012,2022,Total,127.0
A Coruña,Boqueixón,15012,2023,Total,152.0
A Coruña,Boqueixón,15012,2024,Total,169.0
A Coruña,Brión,15013,2021,Total,414.0
A Coruña,Brión,15013,2022,Total,360.0
A Coruña,Brión,15013,2023,Total,362.0
A Coruña,Brión,15013,2024,Total,364.0
A Coruña,Cabana de Bergantiños,15014,2021,Total,119.0
A Coruña,Cabana de Bergantiños,15014,2022,Total,107.0
A Coruña,Cabana de Bergantiños,15014,2023,Total,111.0
A Coruña,Cabana de Bergantiños,15014,2024,Total,99.0
A Coruña,Cabanas,15015,2021,Total,197.0
A Coruña,Cabanas,15015,2022,Total,179.0
A Coruña,Cabanas,15015,2023,Total,169.0
A Coruña,Cabanas,15015,2024,Total,178.0
A Coruña,Camariñas,15016,2021,Total,112.0
A Coruña,Camariñas,15016,2022,Total,119.0
A Coruña,Camariñas,15016,2023,Total,119.0
A Coruña,Camariñas,15016,2024,Total,113.0
A Coruña,Cambre,15017,2021,Total,967.0
A Coruña,Cambre,15017,2022,Total,1018.0
A Coruña,Cambre,15017,2023,Total,959.0
A Coruña,Cambre,15017,2024,Total,908.0
A Coruña,"Capela, A",15018,2021,Total,22.0
A Coruña,"Capela, A",15018,2022,Total,25.0
A Coruña,"Capela, A",15018,2023,Total,23.0
A Coruña,"Capela, A",15018,2024,Total,19.0
A Coruña,Carballo,15019,2021,Total,740.0
A Coruña,Carballo,15019,2022,Total,717.0
A Coruña,Carballo,15019,2023,Total,819.0
A Coruña,Carballo,15019,2024,Total,958.0
A Coruña,Cariño,15901,2021,Total,66.0
A Coruña,Cariño,15901,2022,Total,108.0
A Coruña,Cariño,15901,2023,Total,78.0
A Coruña,Cariño,15901,2024,Total,95.0
A Coruña,Carnota,15020,2021,Total,102.0
A Coruña,Carnota,15020,2022,Total,111.0
A Coruña,Carnota,15020,2023,Total,78.0
A Coruña,Carnota,15020,2024,Total,93.0
A Coruña,Carral,15021,2021,Total,290.0
A Coruña,Carral,15021,2022,Total,303.0
A Coruña,Carral,15021,2023,Total,269.0
A Coruña,Carral,15021,2024,Total,276.0
A Coruña,Cedeira,15022,2021,Total,211.0
A Coruña,Cedeira,15022,2022,Total,166.0
