PROV_NAME,SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity,INE_PROV_CODE
Albacete,ES_02077,2077,Villa de Ves,1.0550,61.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,14.5420,18.3100,0,0.0000,aislado,2
Albacete,ES_02079,2079,Villamalea,30.8050,3953.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,3,8.4570,10.2530,0,0.0000,periferico,2
Albacete,ES_02080,2080,Villapalacios,6.3530,556.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,22.3130,0.0000,0,0.0000,aislado,2
Albacete,ES_02081,2081,Villarrobledo,29.0810,25090.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,2,29.8990,0.0000,0,0.0000,periferico,2
Albacete,ES_02082,2082,Villatoya,6.1070,114.0000,1,1,0.1640,0.0000,0,87.7190,0,1,1,1,1.6490,14.5120,0,0.0000,directo,2
Albacete,ES_02083,2083,Villavaliente,5.9990,209.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,2,10.1230,13.9040,0,0.0000,periferico,2
Albacete,ES_02086,2086,Yeste,4.8880,2504.0000,2,2,0.4090,0.0000,0,7.9870,0,0,3,3,6.5630,11.2660,0,0.0000,directo,2
Albacete,ES_02901,2901,Pozo Cañada,23.1900,2713.0000,0,0,0.0000,0.0000,0,0.0000,0,1,1,2,4.9510,13.7760,0,0.0000,funcional,2
Alicante,ES_03001,3001,"Atzúbia, L'",42.6030,625.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,46.1580,0.0000,0,0.0000,aislado,3
Alicante,ES_03002,3002,Agost,76.0510,5069.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,45.9280,0.0000,0,0.0000,aislado,3
Alicante,ES_03003,3003,Agres,23.9720,619.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,10.5790,11.6910,0,0.0000,aislado,3
Alicante,ES_03004,3004,Aigües,61.9140,1144.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,45.5790,0.0000,0,0.0000,aislado,3
Alicante,ES_03005,3005,Albatera,212.8110,13095.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,78.4250,0.0000,0,0.0000,aislado,3
Alicante,ES_03006,3006,Alcalalí,96.6520,1392.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,63.7170,0.0000,0,0.0000,aislado,3
Alicante,ES_03007,3007,Alcosser,55.2160,260.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,22.2120,0.0000,0,0.0000,aislado,3
Alicante,ES_03008,3008,Alcoleja,13.2030,192.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,34.6660,0.0000,0,0.0000,aislado,3
Alicante,ES_03009,3009,Alcoi,458.5720,59563.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,15.7880,15.9530,0,0.0000,aislado,3
Alicante,ES_03010,3010,Alfafara,21.1870,419.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,54,5.9090,7.6340,0,0.0000,periferico,3
Alicante,ES_03012,3012,Algorfa,199.2330,3684.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,98.8420,0.0000,0,0.0000,aislado,3
Alicante,ES_03013,3013,Algueña,75.8330,1398.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,60.3750,0.0000,0,0.0000,aislado,3
Alicante,ES_03014,3014,Alacant,1745.4270,350598.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,54.8460,0.0000,0,0.0000,aislado,3
Alicante,ES_03015,3015,Almoradí,510.7700,21775.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,98.4210,0.0000,0,0.0000,aislado,3
Alicante,ES_03016,3016,Almudaina,12.5910,111.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,27.8220,0.0000,0,0.0000,aislado,3
Alicante,ES_03018,3018,Altea,697.3780,24020.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,65.8750,0.0000,0,0.0000,aislado,3
Alicante,ES_03019,3019,Aspe,304.6920,21469.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,64.4330,0.0000,0,0.0000,aislado,3
Alicante,ES_03020,3020,Balones,10.7630,121.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,31.1840,0.0000,0,0.0000,aislado,3
Alicante,ES_03021,3021,Banyeres de Mariola,144.2750,7255.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,10.8710,17.9080,0,0.0000,aislado,3
Alicante,ES_03022,3022,Benasau,19.1260,173.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,32.0220,0.0000,0,0.0000,aislado,3
Alicante,ES_03023,3023,Beneixama,48.8020,1704.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,2,8.9980,14.7510,0,0.0000,periferico,3
Alicante,ES_03025,3025,Benferri,162.9910,2016.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,78.4380,0.0000,0,0.0000,aislado,3
Alicante,ES_03026,3026,Beniarbeig,323.2830,2394.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,64.1890,0.0000,0,0.0000,aislado,3
Alicante,ES_03027,3027,Beniardà,16.1520,254.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,45.3650,0.0000,0,0.0000,aislado,3
Alicante,ES_03029,3029,Benigembla,29.6940,548.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,54.6860,0.0000,0,0.0000,aislado,3
Alicante,ES_03030,3030,Benidoleig,166.3650,1245.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,63.1040,0.0000,0,0.0000,aislado,3
