provincia,nombre_municipio,codigo_municipio,anio,pib
A Coruña,Abegondo,15001,2015,10418.0
A Coruña,Abegondo,15001,2016,10750.0
A Coruña,Abegondo,15001,2017,10997.0
A Coruña,Abegondo,15001,2018,11604.0
A Coruña,Abegondo,15001,2019,12322.0
A Coruña,Abegondo,15001,2020,12321.0
A Coruña,Abegondo,15001,2021,12963.0
A Coruña,Abegondo,15001,2022,13806.0
A Coruña,Abegondo,15001,2023,14906.0
A Coruña,Ames,15002,2015,10738.0
A Coruña,Ames,15002,2016,11045.0
A Coruña,Ames,15002,2017,11373.0
A Coruña,Ames,15002,2018,11754.0
A Coruña,Ames,15002,2019,12309.0
A Coruña,Ames,15002,2020,12404.0
A Coruña,Ames,15002,2021,13038.0
A Coruña,Ames,15002,2022,13963.0
A Coruña,Ames,15002,2023,15004.0
A Coruña,Aranga,15003,2015,9963.0
A Coruña,Aranga,15003,2016,10211.0
A Coruña,Aranga,15003,2017,10694.0
A Coruña,Aranga,15003,2018,11160.0
A Coruña,Aranga,15003,2019,11593.0
A Coruña,Aranga,15003,2020,11891.0
A Coruña,Aranga,15003,2021,12079.0
A Coruña,Aranga,15003,2022,13257.0
A Coruña,Aranga,15003,2023,14728.0
A Coruña,Ares,15004,2015,10996.0
A Coruña,Ares,15004,2016,11266.0
A Coruña,Ares,15004,2017,11317.0
A Coruña,Ares,15004,2018,12032.0
A Coruña,Ares,15004,2019,12650.0
A Coruña,Ares,15004,2020,12821.0
A Coruña,Ares,15004,2021,13363.0
A Coruña,Ares,15004,2022,14288.0
A Coruña,Ares,15004,2023,15579.0
A Coruña,Arteixo,15005,2015,9845.0
A Coruña,Arteixo,15005,2016,10143.0
A Coruña,Arteixo,15005,2017,10534.0
A Coruña,Arteixo,15005,2018,10989.0
A Coruña,Arteixo,15005,2019,11540.0
A Coruña,Arteixo,15005,2020,11462.0
A Coruña,Arteixo,15005,2021,11970.0
A Coruña,Arteixo,15005,2022,12917.0
A Coruña,Arteixo,15005,2023,13920.0
A Coruña,Arzúa,15006,2015,8895.0
A Coruña,Arzúa,15006,2016,9249.0
A Coruña,Arzúa,15006,2017,9661.0
A Coruña,Arzúa,15006,2018,10208.0
A Coruña,Arzúa,15006,2019,10874.0
A Coruña,Arzúa,15006,2020,10993.0
A Coruña,Arzúa,15006,2021,11633.0
A Coruña,Arzúa,15006,2022,12632.0
A Coruña,Arzúa,15006,2023,13775.0
A Coruña,"Baña, A",15007,2015,8902.0
A Coruña,"Baña, A",15007,2016,9272.0
A Coruña,"Baña, A",15007,2017,9706.0
A Coruña,"Baña, A",15007,2018,10241.0
A Coruña,"Baña, A",15007,2019,10810.0
A Coruña,"Baña, A",15007,2020,10907.0
A Coruña,"Baña, A",15007,2021,11482.0
A Coruña,"Baña, A",15007,2022,12663.0
A Coruña,"Baña, A",15007,2023,13641.0
A Coruña,Bergondo,15008,2015,11946.0
A Coruña,Bergondo,15008,2016,12797.0
A Coruña,Bergondo,15008,2017,12680.0
A Coruña,Bergondo,15008,2018,13480.0
A Coruña,Bergondo,15008,2019,13757.0
A Coruña,Bergondo,15008,2020,14048.0
A Coruña,Bergondo,15008,2021,13569.0
A Coruña,Bergondo,15008,2022,15909.0
A Coruña,Bergondo,15008,2023,17241.0
A Coruña,Betanzos,15009,2015,10669.0
A Coruña,Betanzos,15009,2016,10824.0
A Coruña,Betanzos,15009,2017,11071.0
A Coruña,Betanzos,15009,2018,11494.0
A Coruña,Betanzos,15009,2019,11994.0
A Coruña,Betanzos,15009,2020,12092.0
A Coruña,Betanzos,15009,2021,12558.0
A Coruña,Betanzos,15009,2022,13384.0
A Coruña,Betanzos,15009,2023,14407.0
A Coruña,Boimorto,15010,2015,9139.0
A Coruña,Boimorto,15010,2016,9227.0
A Coruña,Boimorto,15010,2017,9504.0
A Coruña,Boimorto,15010,2018,10262.0
A Coruña,Boimorto,15010,2019,10765.0
A Coruña,Boimorto,15010,2020,10887.0
A Coruña,Boimorto,15010,2021,11461.0
A Coruña,Boimorto,15010,2022,12331.0
A Coruña,Boimorto,15010,2023,13590.0
A Coruña,Boiro,15011,2015,9246.0
A Coruña,Boiro,15011,2016,9644.0
A Coruña,Boiro,15011,2017,9896.0
A Coruña,Boiro,15011,2018,10429.0
A Coruña,Boiro,15011,2019,10929.0
A Coruña,Boiro,15011,2020,11428.0
A Coruña,Boiro,15011,2021,11557.0
A Coruña,Boiro,15011,2022,12620.0
A Coruña,Boiro,15011,2023,13341.0
A Coruña,Boqueixón,15012,2015,9655.0
A Coruña,Boqueixón,15012,2016,10038.0
A Coruña,Boqueixón,15012,2017,10424.0
A Coruña,Boqueixón,15012,2018,11101.0
A Coruña,Boqueixón,15012,2019,11669.0
A Coruña,Boqueixón,15012,2020,12426.0
A Coruña,Boqueixón,15012,2021,12773.0
