municipio,year,population
Ababuj,2025,73.0
Ababuj,2024,74.0
Ababuj,2023,70.0
Ababuj,2022,72.0
Ababuj,2021,76.0
Ababuj,2020,77.0
Ababuj,2019,73.0
Ababuj,2018,76.0
Ababuj,2017,73.0
Ababuj,2016,76.0
Ababuj,2015,73.0
Ababuj,2014,65.0
Ababuj,2013,65.0
Ababuj,2012,73.0
Ababuj,2011,78.0
Ababuj,2010,77.0
Ababuj,2009,80.0
Ababuj,2008,83.0
Ababuj,2007,82.0
Ababuj,2006,84.0
Ababuj,2005,84.0
Ababuj,2004,89.0
Ababuj,2003,85.0
Ababuj,2002,88.0
Ababuj,2001,84.0
Ababuj,2000,85.0
Ababuj,1999,86.0
Ababuj,1998,86.0
Ababuj,1996,85.0
Abades,2025,849.0
Abades,2024,859.0
Abades,2023,859.0
Abades,2022,839.0
Abades,2021,835.0
Abades,2020,857.0
Abades,2019,848.0
Abades,2018,845.0
Abades,2017,864.0
Abades,2016,862.0
Abades,2015,863.0
Abades,2014,873.0
Abades,2013,890.0
Abades,2012,882.0
Abades,2011,882.0
Abades,2010,893.0
Abades,2009,906.0
Abades,2008,916.0
Abades,2007,905.0
Abades,2006,887.0
Abades,2005,896.0
Abades,2004,888.0
Abades,2003,861.0
Abades,2002,856.0
Abades,2001,852.0
Abades,2000,848.0
Abades,1999,860.0
Abades,1998,860.0
Abades,1996,876.0
Abadía,2025,337.0
Abadía,2024,331.0
Abadía,2023,338.0
Abadía,2022,340.0
Abadía,2021,359.0
Abadía,2020,336.0
Abadía,2019,331.0
Abadía,2018,335.0
Abadía,2017,337.0
Abadía,2016,334.0
Abadía,2015,336.0
Abadía,2014,324.0
Abadía,2013,333.0
Abadía,2012,330.0
Abadía,2011,328.0
Abadía,2010,326.0
Abadía,2009,325.0
Abadía,2008,317.0
Abadía,2007,321.0
Abadía,2006,272.0
Abadía,2005,277.0
Abadía,2004,288.0
Abadía,2003,290.0
Abadía,2002,297.0
Abadía,2001,282.0
Abadía,2000,276.0
Abadía,1999,271.0
Abadía,1998,278.0
Abadía,1996,283.0
Abadín,2025,2239.0
Abadín,2024,2217.0
Abadín,2023,2203.0
Abadín,2022,2259.0
Abadín,2021,2297.0
Abadín,2020,2322.0
Abadín,2019,2367.0
Abadín,2018,2428.0
Abadín,2017,2490.0
Abadín,2016,2559.0
Abadín,2015,2612.0
Abadín,2014,2646.0
Abadín,2013,2721.0
Abadín,2012,2760.0
Abadín,2011,2811.0
Abadín,2010,2858.0
Abadín,2009,2896.0
Abadín,2008,2988.0
Abadín,2007,3065.0
Abadín,2006,3141.0
Abadín,2005,3201.0
Abadín,2004,3256.0
Abadín,2003,3326.0
Abadín,2002,3342.0
Abadín,2001,3432.0
Abadín,2000,3516.0
Abadín,1999,3531.0
Abadín,1998,3582.0
Abadín,1996,3647.0
Abadiño,2025,7768.0
Abadiño,2024,7742.0
Abadiño,2023,7708.0
Abadiño,2022,7708.0
Abadiño,2021,7618.0
Abadiño,2020,7658.0
Abadiño,2019,7599.0
Abadiño,2018,7533.0
Abadiño,2017,7522.0
Abadiño,2016,7533.0
Abadiño,2015,7516.0
Abadiño,2014,7504.0
Abadiño,2013,7458.0
Abadiño,2012,7385.0
Abadiño,2011,7312.0
Abadiño,2010,7310.0
Abadiño,2009,7260.0
Abadiño,2008,7197.0
Abadiño,2007,7140.0
Abadiño,2006,7163.0
Abadiño,2005,7129.0
Abadiño,2004,7031.0
Abadiño,2003,6996.0
Abadiño,2002,6954.0
Abadiño,2001,6841.0
Abadiño,2000,6851.0
Abadiño,1999,6858.0
Abadiño,1998,6820.0
Abadiño,1996,6897.0
Abáigar,2025,74.0
Abáigar,2024,86.0
Abáigar,2023,82.0
Abáigar,2022,80.0
Abáigar,2021,84.0
Abáigar,2020,82.0
Abáigar,2019,83.0
Abáigar,2018,87.0
Abáigar,2017,88.0
Abáigar,2016,90.0
Abáigar,2015,97.0
Abáigar,2014,98.0
Abáigar,2013,98.0
Abáigar,2012,101.0
Abáigar,2011,103.0
Abáigar,2010,102.0
Abáigar,2009,102.0
Abáigar,2008,103.0
Abáigar,2007,101.0
Abáigar,2006,104.0
Abáigar,2005,103.0
Abáigar,2004,97.0
Abáigar,2003,92.0
Abáigar,2002,97.0
Abáigar,2001,97.0
Abáigar,2000,97.0
Abáigar,1999,99.0
Abáigar,1998,94.0
Abáigar,1996,95.0
Abajas,2025,28.0
Abajas,2024,28.0
Abajas,2023,28.0
Abajas,2022,29.0
Abajas,2021,29.0
Abajas,2020,31.0
Abajas,2019,31.0
Abajas,2018,27.0
Abajas,2017,27.0
Abajas,2016,29.0
Abajas,2015,29.0
Abajas,2014,29.0
Abajas,2013,32.0
Abajas,2012,29.0
Abajas,2011,29.0
Abajas,2010,26.0
Abajas,2009,26.0
Abajas,2008,30.0
Abajas,2007,35.0
Abajas,2006,36.0
Abajas,2005,39.0
Abajas,2004,41.0
Abajas,2003,46.0
Abajas,2002,55.0
Abajas,2001,55.0
Abajas,2000,48.0
Abajas,1999,30.0
Abajas,1998,34.0
Abajas,1996,37.0
Ábalos,2025,256.0
Ábalos,2024,256.0
Ábalos,2023,258.0
Ábalos,2022,260.0
Ábalos,2021,248.0
Ábalos,2020,255.0
Ábalos,2019,257.0
Ábalos,2018,255.0
Ábalos,2017,249.0
Ábalos,2016,249.0
Ábalos,2015,252.0
Ábalos,2014,294.0
Ábalos,2013,348.0
Ábalos,2012,357.0
Ábalos,2011,364.0
Ábalos,2010,369.0
Ábalos,2009,387.0
Ábalos,2008,371.0
Ábalos,2007,377.0
Ábalos,2006,339.0
Ábalos,2005,341.0
Ábalos,2004,289.0
Ábalos,2003,269.0
Ábalos,2002,266.0
Ábalos,2001,264.0
Ábalos,2000,276.0
Ábalos,1999,280.0
Ábalos,1998,271.0
