region_code,region_name,year,population
01,Araba/Álava,2021,333626.0
02,Albacete,2021,386464.0
03,Alicante/Alacant,2021,1881762.0
04,Almería,2021,731792.0
05,Ávila,2021,158421.0
06,Badajoz,2021,669943.0
07,"Balears, Illes",2021,1173008.0
08,Barcelona,2021,5714730.0
09,Burgos,2021,356055.0
10,Cáceres,2021,389558.0
11,Cádiz,2021,1245960.0
12,Castellón/Castelló,2021,587064.0
13,Ciudad Real,2021,492591.0
14,Córdoba,2021,776789.0
15,"Coruña, A",2021,1120134.0
16,Cuenca,2021,195516.0
17,Girona,2021,786596.0
18,Granada,2021,921338.0
19,Guadalajara,2021,265588.0
20,Gipuzkoa,2021,726033.0
21,Huelva,2021,525835.0
22,Huesca,2021,224264.0
23,Jaén,2021,627190.0
24,León,2021,451706.0
25,Lleida,2021,439727.0
26,"Rioja, La",2021,319796.0
27,Lugo,2021,326013.0
28,Madrid,2021,6751251.0
29,Málaga,2021,1695651.0
30,Murcia,2021,1518486.0
31,Navarra,2021,661537.0
32,Ourense,2021,305223.0
33,Asturias,2021,1011792.0
34,Palencia,2021,159123.0
35,"Palmas, Las",2021,1128539.0
36,Pontevedra,2021,944275.0
37,Salamanca,2021,327338.0
38,Santa Cruz de Tenerife,2021,1044405.0
39,Cantabria,2021,584507.0
40,Segovia,2021,153663.0
41,Sevilla,2021,1947852.0
42,Soria,2021,88747.0
43,Tarragona,2021,822309.0
44,Teruel,2021,134545.0
45,Toledo,2021,709403.0
46,Valencia/València,2021,2589312.0
47,Valladolid,2021,519361.0
48,Bizkaia,2021,1154334.0
49,Zamora,2021,168725.0
50,Zaragoza,2021,967452.0
51,Ceuta,2021,83517.0
52,Melilla,2021,86261.0
01,Araba/Álava,2020,333940.0
02,Albacete,2020,388270.0
03,Alicante/Alacant,2020,1879888.0
04,Almería,2020,727945.0
05,Ávila,2020,157664.0
06,Badajoz,2020,672137.0
07,"Balears, Illes",2020,1171543.0
08,Barcelona,2020,5743402.0
09,Burgos,2020,357650.0
10,Cáceres,2020,391850.0
11,Cádiz,2020,1244049.0
12,Castellón/Castelló,2020,585590.0
13,Ciudad Real,2020,495045.0
14,Córdoba,2020,781451.0
15,"Coruña, A",2020,1121815.0
16,Cuenca,2020,196139.0
17,Girona,2020,781788.0
18,Granada,2020,919168.0
19,Guadalajara,2020,261995.0
20,Gipuzkoa,2020,727121.0
21,Huelva,2020,524278.0
22,Huesca,2020,222687.0
23,Jaén,2020,631381.0
24,León,2020,456439.0
25,Lleida,2020,438517.0
26,"Rioja, La",2020,319914.0
27,Lugo,2020,327946.0
28,Madrid,2020,6779888.0
29,Málaga,2020,1685920.0
30,Murcia,2020,1511251.0
31,Navarra,2020,661197.0
32,Ourense,2020,306650.0
33,Asturias,2020,1018784.0
34,Palencia,2020,160321.0
35,"Palmas, Las",2020,1131065.0
36,Pontevedra,2020,945408.0
37,Salamanca,2020,329245.0
38,Santa Cruz de Tenerife,2020,1044887.0
39,Cantabria,2020,582905.0
40,Segovia,2020,153478.0
41,Sevilla,2020,1950219.0
42,Soria,2020,88884.0
43,Tarragona,2020,816772.0
44,Teruel,2020,134176.0
45,Toledo,2020,703772.0
46,Valencia/València,2020,2591875.0
47,Valladolid,2020,520649.0
48,Bizkaia,2020,1159443.0
49,Zamora,2020,170588.0
50,Zaragoza,2020,972528.0
51,Ceuta,2020,84202.0
52,Melilla,2020,87076.0
01,Araba/Álava,2019,331549.0
02,Albacete,2019,388167.0
03,Alicante/Alacant,2019,1858683.0
04,Almería,2019,716820.0
05,Ávila,2019,157640.0
06,Badajoz,2019,673559.0
07,"Balears, Illes",2019,1149460.0
08,Barcelona,2019,5664579.0
09,Burgos,2019,356958.0
10,Cáceres,2019,394151.0
