Codigo,Nombre,Consumo eléctrico,Total
04,Almería,Viviendas totales,433763
04,Almería,Viviendas vacías,73222
04,Almería,Mediana consumo anual,2333
04,Almería,Viviendas con bajo consumo,16069
04,Almería,Viviendas de uso esporádico,45653
04,Almería,Viviendas de uso esporádico (entre 251 y 500 kwh),23229
04,Almería,Viviendas de uso esporádico (entre 501 y 750 kwh),22424
04,Almería,Viviendas con consumo entre 751 y 1.000 kwh,21060
04,Almería,Viviendas con consumo entre 1.001 y 2.000 kwh,80169
04,Almería,Viviendas con consumo entre 2.001 y 3.000 kwh,71340
04,Almería,Viviendas con consumo entre 3.001 y 4.000 kwh,52852
04,Almería,Viviendas con consumo entre 4.001 y 5.000 kwh,32573
04,Almería,Viviendas con consumo entre 5.001 y 6.000 kwh,17615
04,Almería,Viviendas con consumo entre 6.001 y 7.000 kwh,9267
04,Almería,Viviendas con consumo entre 7.001 y 8.000 kwh,4861
04,Almería,Viviendas con consumo entre 8.001 y 9.000 kwh,2715
04,Almería,Viviendas con consumo entre 9.001 y 10.000 kwh,1708
04,Almería,Viviendas con consumo mayor de 10.000 kwh,4659
04001,Abla,Viviendas totales,1076
04001,Abla,Viviendas vacías,225
04001,Abla,Mediana consumo anual,1536
04001,Abla,Viviendas con bajo consumo,79
04001,Abla,Viviendas de uso esporádico,173
04001,Abla,Viviendas de uso esporádico (entre 251 y 500 kwh),100
04001,Abla,Viviendas de uso esporádico (entre 501 y 750 kwh),73
04001,Abla,Viviendas con consumo entre 751 y 1.000 kwh,87
04001,Abla,Viviendas con consumo entre 1.001 y 2.000 kwh,209
04001,Abla,Viviendas con consumo entre 2.001 y 3.000 kwh,123
04001,Abla,Viviendas con consumo entre 3.001 y 4.000 kwh,80
04001,Abla,Viviendas con consumo entre 4.001 y 5.000 kwh,47
04001,Abla,Viviendas con consumo entre 5.001 y 6.000 kwh,21
04001,Abla,Viviendas con consumo entre 6.001 y 7.000 kwh,13
04001,Abla,Viviendas con consumo entre 7.001 y 8.000 kwh,5
04001,Abla,Viviendas con consumo entre 8.001 y 9.000 kwh,3
