codigo_municipio,nombre_municipio,codigo_provincia,provincia,anio,sexo,nacionalidad,valor
01001,Alegría-Dulantzi,01,Álava,2021,Ambos sexos,Total,221.0
01001,Alegría-Dulantzi,01,Álava,2022,Ambos sexos,Total,197.0
01001,Alegría-Dulantzi,01,Álava,2023,Ambos sexos,Total,158.0
01001,Alegría-Dulantzi,01,Álava,2024,Ambos sexos,Total,171.0
01002,Amurrio,01,Álava,2021,Ambos sexos,Total,278.0
01002,Amurrio,01,Álava,2022,Ambos sexos,Total,272.0
01002,Amurrio,01,Álava,2023,Ambos sexos,Total,235.0
01002,Amurrio,01,Álava,2024,Ambos sexos,Total,269.0
01003,Aramaio,01,Álava,2021,Ambos sexos,Total,30.0
01003,Aramaio,01,Álava,2022,Ambos sexos,Total,25.0
01003,Aramaio,01,Álava,2023,Ambos sexos,Total,25.0
01003,Aramaio,01,Álava,2024,Ambos sexos,Total,30.0
01004,Artziniega,01,Álava,2021,Ambos sexos,Total,110.0
01004,Artziniega,01,Álava,2022,Ambos sexos,Total,103.0
01004,Artziniega,01,Álava,2023,Ambos sexos,Total,88.0
01004,Artziniega,01,Álava,2024,Ambos sexos,Total,74.0
01006,Armiñón,01,Álava,2021,Ambos sexos,Total,20.0
01006,Armiñón,01,Álava,2022,Ambos sexos,Total,25.0
01006,Armiñón,01,Álava,2023,Ambos sexos,Total,25.0
01006,Armiñón,01,Álava,2024,Ambos sexos,Total,17.0
01008,Arratzua-Ubarrundia,01,Álava,2021,Ambos sexos,Total,98.0
01008,Arratzua-Ubarrundia,01,Álava,2022,Ambos sexos,Total,72.0
01008,Arratzua-Ubarrundia,01,Álava,2023,Ambos sexos,Total,42.0
01008,Arratzua-Ubarrundia,01,Álava,2024,Ambos sexos,Total,70.0
01009,Asparrena,01,Álava,2021,Ambos sexos,Total,75.0
01009,Asparrena,01,Álava,2022,Ambos sexos,Total,57.0
01009,Asparrena,01,Álava,2023,Ambos sexos,Total,89.0
01009,Asparrena,01,Álava,2024,Ambos sexos,Total,70.0
01010,Ayala/Aiara,01,Álava,2021,Ambos sexos,Total,111.0
01010,Ayala/Aiara,01,Álava,2022,Ambos sexos,Total,114.0
01010,Ayala/Aiara,01,Álava,2023,Ambos sexos,Total,122.0
01010,Ayala/Aiara,01,Álava,2024,Ambos sexos,Total,101.0
01011,Baños de Ebro/Mañueta,01,Álava,2021,Ambos sexos,Total,25.0
01011,Baños de Ebro/Mañueta,01,Álava,2022,Ambos sexos,Total,13.0
01011,Baños de Ebro/Mañueta,01,Álava,2023,Ambos sexos,Total,9.0
01011,Baños de Ebro/Mañueta,01,Álava,2024,Ambos sexos,Total,6.0
01013,Barrundia,01,Álava,2021,Ambos sexos,Total,55.0
01013,Barrundia,01,Álava,2022,Ambos sexos,Total,29.0
01013,Barrundia,01,Álava,2023,Ambos sexos,Total,44.0
01013,Barrundia,01,Álava,2024,Ambos sexos,Total,45.0
01014,Berantevilla,01,Álava,2021,Ambos sexos,Total,27.0
01014,Berantevilla,01,Álava,2022,Ambos sexos,Total,23.0
01014,Berantevilla,01,Álava,2023,Ambos sexos,Total,31.0
01014,Berantevilla,01,Álava,2024,Ambos sexos,Total,31.0
01016,Bernedo,01,Álava,2021,Ambos sexos,Total,57.0
01016,Bernedo,01,Álava,2022,Ambos sexos,Total,24.0
01016,Bernedo,01,Álava,2023,Ambos sexos,Total,35.0
01016,Bernedo,01,Álava,2024,Ambos sexos,Total,31.0
01017,Campezo/Kanpezu,01,Álava,2021,Ambos sexos,Total,76.0
01017,Campezo/Kanpezu,01,Álava,2022,Ambos sexos,Total,34.0
