codigo_municipio,nombre_municipio,provincia,anio,valor
01001,Alegría-Dulantzi,Álava,2023,16429.0
01001,Alegría-Dulantzi,Álava,2022,15116.0
01001,Alegría-Dulantzi,Álava,2021,14647.0
01001,Alegría-Dulantzi,Álava,2020,13969.0
01001,Alegría-Dulantzi,Álava,2019,14299.0
01001,Alegría-Dulantzi,Álava,2018,13361.0
01001,Alegría-Dulantzi,Álava,2017,13281.0
01001,Alegría-Dulantzi,Álava,2016,13086.0
01001,Alegría-Dulantzi,Álava,2015,12936.0
01002,Amurrio,Álava,2023,17486.0
01002,Amurrio,Álava,2022,16011.0
01002,Amurrio,Álava,2021,15192.0
01002,Amurrio,Álava,2020,14683.0
01002,Amurrio,Álava,2019,14892.0
01002,Amurrio,Álava,2018,14103.0
01002,Amurrio,Álava,2017,13862.0
01002,Amurrio,Álava,2016,13691.0
01002,Amurrio,Álava,2015,13800.0
01003,Aramaio,Álava,2023,20577.0
01003,Aramaio,Álava,2022,20201.0
01003,Aramaio,Álava,2021,18440.0
01003,Aramaio,Álava,2020,18386.0
01003,Aramaio,Álava,2019,18177.0
01003,Aramaio,Álava,2018,16478.0
01003,Aramaio,Álava,2017,16177.0
01003,Aramaio,Álava,2016,17194.0
01003,Aramaio,Álava,2015,15786.0
01004,Artziniega,Álava,2023,16408.0
01004,Artziniega,Álava,2022,15651.0
01004,Artziniega,Álava,2021,14033.0
01004,Artziniega,Álava,2020,13335.0
01004,Artziniega,Álava,2019,13622.0
01004,Artziniega,Álava,2018,13157.0
01004,Artziniega,Álava,2017,12530.0
01004,Artziniega,Álava,2016,13185.0
01004,Artziniega,Álava,2015,12722.0
01006,Armiñón,Álava,2023,17000.0
01006,Armiñón,Álava,2022,15755.0
01006,Armiñón,Álava,2021,16927.0
01006,Armiñón,Álava,2020,14278.0
01006,Armiñón,Álava,2019,15531.0
01006,Armiñón,Álava,2018,14671.0
01006,Armiñón,Álava,2017,13115.0
01006,Armiñón,Álava,2016,11330.0
