LAU_ID,LAU_NAME,Anio,Vehiculos_Oficial,Indice_Conectividad,Poblacion_Est
02077,Villa de Ves,2010,35,33.16,58
02079,Villamalea,2010,2354,76.42,3798
02080,Villapalacios,2010,331,52.1,534
02081,Villarrobledo,2010,14948,514.01,24111
02082,Villatoya,2010,67,10.97,109
02083,Villavaliente,2010,124,20.67,200
02086,Yeste,2010,1491,305.06,2406
02901,Pozo Cañada,2010,1616,69.69,2607
03001,"Atzúbia, l'",2010,372,8.73,600
03002,Agost,2010,3020,39.71,4871
03003,Agres,2010,368,15.35,594
03004,Aigües,2010,681,11.0,1099
03005,Albatera,2010,7802,36.66,12584
03006,Alcalalí,2010,828,8.57,1337
03007,Alcosser,2010,154,2.79,249
03008,Alcoleja,2010,114,8.63,184
03009,Alcoi,2010,35488,77.39,57240
03010,Alfafara,2010,249,11.75,402
03012,Algorfa,2010,2194,11.01,3540
03013,Algueña,2010,832,10.97,1343
03014,Alacant,2010,208892,119.68,336924
03015,Almoradí,2010,12973,25.4,20925
03016,Almudaina,2010,65,5.16,106
03018,Altea,2010,14311,20.52,23083
03019,Aspe,2010,12791,41.98,20631
03020,Balones,2010,71,6.6,116
03021,Banyeres de Mariola,2010,4322,29.96,6972
03022,Benasau,2010,102,5.33,166
03023,Beneixama,2010,1014,20.78,1637
03025,Benferri,2010,1200,7.36,1937
03026,Beniarbeig,2010,1426,4.41,2300
03027,Beniardà,2010,151,9.35,244
03029,Benigembla,2010,326,10.98,526
03030,Benidoleig,2010,741,4.45,1196
03031,Benidorm,2010,43008,22.96,69368
03032,Benifallim,2010,66,8.06,107
03033,Benifato,2010,83,7.04,134
03035,Benilloba,2010,439,5.67,709
03036,Benillup,2010,63,1.98,103
03037,Benimantell,2010,319,22.54,515
03039,Benimassot,2010,62,5.62,100
03040,Benimeli,2010,271,2.08,438
03041,Benissa,2010,7371,41.55,11889
05109,Langa,2010,268,14.52,433
05110,Lanzahíta,2010,499,19.97,805
05112,"Losar del Barco, El",2010,69,11.52,112
05114,Madrigal de las Altas Torres,2010,798,63.56,1288
05116,Malpartida de Corneja,2010,58,11.16,95
05117,Mamblas,2010,117,14.28,189
05118,Mancera de Arriba,2010,42,10.41,68
05119,Manjabálago y Ortigosa de Rioa,2010,22,9.6,37
05120,Marlín,2010,20,3.65,33
05121,Martiherrero,2010,211,13.55,341
05122,Martínez,2010,68,10.68,110
05123,Mediana de Voltoya,2010,69,10.84,112
05125,Mengamuñoz,2010,32,6.8,53
05127,Mijares,2010,434,28.13,700
05128,Mingorría,2010,231,18.24,373
05129,"Mirón, El",2010,58,18.4,94
05130,Mironcillo,2010,64,8.95,104
05131,Mirueña de los Infanzones,2010,52,18.24,85
05132,Mombeltrán,2010,544,29.72,879
05133,Monsalupe,2010,33,10.25,54
05135,Muñana,2010,290,19.97,468
05136,Muñico,2010,46,7.73,75
05138,Muñogalindo,2010,178,11.15,288
05139,Muñogrande,2010,45,9.58,73
05140,Muñomer del Peco,2010,66,5.94,107
05141,Muñopepe,2010,60,3.52,98
05142,Muñosancho,2010,52,11.66,84
05143,Muñotello,2010,30,11.73,49
05144,Narrillos del Álamo,2010,35,17.12,57
05145,Narrillos del Rebollar,2010,21,9.88,35
05147,Narros del Castillo,2010,88,19.84,143
05149,Narros de Saldueña,2010,66,5.55,107
