SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_02077,02077,Villa de Ves,1.05545306,61.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_02079,02079,Villamalea,30.80544168,3953.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_02080,02080,Villapalacios,6.35273291,556.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_02081,02081,Villarrobledo,29.0809823,25090.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_02082,02082,Villatoya,6.10689828,114.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_02083,02083,Villavaliente,5.99888047,209.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_02086,02086,Yeste,4.88759008,2504.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_02901,02901,Pozo Cañada,23.18985884,2713.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03001,03001,"Atzúbia, l'",42.60275728,625.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03002,03002,Agost,76.05129539,5069.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03003,03003,Agres,23.97215445,619.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03004,03004,Aigües,61.9140342,1144.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03005,03005,Albatera,212.8110661,13095.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03006,03006,Alcalalí,96.65158902,1392.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03007,03007,Alcosser,55.21618074,260.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03008,03008,Alcoleja,13.20295184,192.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03009,03009,Alcoi,458.57235496,59563.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03010,03010,Alfafara,21.18676427,419.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03012,03012,Algorfa,199.23333628,3684.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03013,03013,Algueña,75.83261897,1398.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03014,03014,Alacant,1745.42694887,350598.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03015,03015,Almoradí,510.76952872,21775.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03016,03016,Almudaina,12.59055564,111.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03018,03018,Altea,697.37837532,24020.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03019,03019,Aspe,304.6921259,21469.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03020,03020,Balones,10.76342987,121.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03021,03021,Banyeres de Mariola,144.27492813,7255.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03022,03022,Benasau,19.12591952,173.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03023,03023,Beneixama,48.80231662,1704.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03025,03025,Benferri,162.99064616,2016.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03026,03026,Beniarbeig,323.28267308,2394.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03027,03027,Beniardà,16.15153062,254.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03029,03029,Benigembla,29.69387579,548.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03030,03030,Benidoleig,166.36500727,1245.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03031,03031,Benidorm,1873.57842296,72184.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03032,03032,Benifallim,8.19243882,112.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03033,03033,Benifato,11.78553518,140.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03035,03035,Benilloba,77.40034768,738.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03036,03036,Benillup,31.82339984,108.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03037,03037,Benimantell,14.15137914,536.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03039,03039,Benimassot,11.03151389,105.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03040,03040,Benimeli,130.06024371,456.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_03041,03041,Benissa,177.3969585,12372.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05109,05109,Langa,18.45642582,451.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05110,05110,Lanzahíta,24.98665666,838.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05112,05112,"Losar del Barco, El",5.98863142,117.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05114,05114,Madrigal de las Altas Torres,12.5543509,1341.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05116,05116,Malpartida de Corneja,5.19877005,99.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05117,05117,Mamblas,8.19371902,197.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05118,05118,Mancera de Arriba,4.03506742,71.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05119,05119,Manjabálago y Ortigosa de Rioa,2.29050275,39.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05120,05120,Marlín,5.47623093,35.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05121,05121,Martiherrero,15.57159995,355.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05122,05122,Martínez,6.36599423,115.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05123,05123,Mediana de Voltoya,6.36471815,117.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05125,05125,Mengamuñoz,4.70527123,56.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05127,05127,Mijares,15.42837286,729.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05128,05128,Mingorría,12.66268186,389.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05129,05129,"Mirón, El",3.15290351,98.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05130,05130,Mironcillo,7.15387608,109.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05131,05131,Mirueña de los Infanzones,2.85093468,89.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05132,05132,Mombeltrán,18.3030314,915.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05133,05133,Monsalupe,3.21795514,57.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05135,05135,Muñana,14.52022893,488.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05136,05136,Muñico,5.9501644,79.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05138,05138,Muñogalindo,15.96373312,300.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05139,05139,Muñogrande,4.69759012,76.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05140,05140,Muñomer del Peco,11.10734285,112.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05141,05141,Muñopepe,17.05807519,103.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05142,05142,Muñosancho,4.45988179,88.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05143,05143,Muñotello,2.55708076,51.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05144,05144,Narrillos del Álamo,2.04491553,60.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05145,05145,Narrillos del Rebollar,2.12611547,37.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05147,05147,Narros del Castillo,4.43489585,149.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05149,05149,Narros de Saldueña,11.886706,112.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05151,05151,Navacepedilla de Corneja,3.22148265,95.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05152,05152,Nava de Arévalo,11.63750096,678.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05153,05153,Nava del Barco,2.89190295,85.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
ES_05154,05154,Navadijos,1.9631595,39.0,0,0,0.0,0.0,0,0.0,0,0,0,0,,,0,0.0,periferico
