municipio,year,Total,Hombres,Mujeres
Ababuj,2020,77,46,31
Ababuj,2021,76,44,32
Ababuj,2022,72,44,28
Ababuj,2023,70,43,27
Ababuj,2024,74,44,30
Abades,2020,857,423,434
Abades,2021,835,417,418
Abades,2022,839,411,428
Abades,2023,859,421,438
Abades,2024,859,422,437
Abadiño,2020,7658,3862,3796
Abadiño,2021,7618,3829,3789
Abadiño,2022,7708,3860,3848
Abadiño,2023,7708,3864,3844
Abadiño,2024,7742,3858,3884
Abadía,2020,336,183,153
Abadía,2021,359,193,166
Abadía,2022,340,185,155
Abadía,2023,338,185,153
Abadía,2024,331,183,148
Abadín,2020,2322,1144,1178
Abadín,2021,2297,1144,1153
Abadín,2022,2259,1112,1147
Abadín,2023,2203,1078,1125
Abadín,2024,2217,1103,1114
Abajas,2020,31,20,11
Abajas,2021,29,19,10
Abajas,2022,29,19,10
Abajas,2023,28,18,10
Abajas,2024,28,17,11
Abaltzisketa,2020,318,175,143
Abaltzisketa,2021,312,168,144
Abaltzisketa,2022,309,169,140
Abaltzisketa,2023,326,185,141
Abaltzisketa,2024,319,179,140
Abanilla,2020,6097,3096,3001
Abanilla,2021,6116,3099,3017
Abanilla,2022,6146,3112,3034
Abanilla,2023,6216,3163,3053
Abanilla,2024,6206,3180,3026
Abanto,2020,92,56,36
Abanto,2021,89,53,36
Abanto,2022,89,55,34
Abanto,2023,86,55,31
Abanto,2024,80,51,29
Abanto y Ciérvana-Abanto Zierbena,2020,9471,4692,4779
Abanto y Ciérvana-Abanto Zierbena,2021,9436,4683,4753
Abanto y Ciérvana-Abanto Zierbena,2022,9369,4648,4721
Abanto y Ciérvana-Abanto Zierbena,2023,9402,4674,4728
Abanto y Ciérvana-Abanto Zierbena,2024,9409,4692,4717
Abarca de Campos,2020,45,27,18
Abarca de Campos,2021,45,28,17
Abarca de Campos,2022,43,25,18
Abarca de Campos,2023,42,25,17
Abarca de Campos,2024,38,23,15
Abarán,2020,13022,6514,6508
Abarán,2021,13066,6531,6535
Abarán,2022,12992,6492,6500
Abarán,2023,12964,6473,6491
Abarán,2024,13000,6488,6512
Abaurregaina/Abaurrea Alta,2020,127,80,47
Abaurregaina/Abaurrea Alta,2021,128,80,48
Abaurregaina/Abaurrea Alta,2022,120,75,45
Abaurregaina/Abaurrea Alta,2023,115,70,45
Abaurregaina/Abaurrea Alta,2024,119,69,50
Abaurrepea/Abaurrea Baja,2020,31,18,13
Abaurrepea/Abaurrea Baja,2021,29,19,10
Abaurrepea/Abaurrea Baja,2022,31,19,12
Abaurrepea/Abaurrea Baja,2023,29,18,11
Abaurrepea/Abaurrea Baja,2024,29,18,11
Abegondo,2020,5398,2665,2733
Abegondo,2021,5494,2701,2793
Abegondo,2022,5534,2729,2805
Abegondo,2023,5584,2763,2821
Abegondo,2024,5578,2784,2794
Abejar,2020,286,151,135
Abejar,2021,273,142,131
Abejar,2022,273,141,132
Abejar,2023,376,189,187
Abejar,2024,386,199,187
Abejuela,2020,50,31,19
Abejuela,2021,57,36,21
Abejuela,2022,56,34,22
Abejuela,2023,55,35,20
Abejuela,2024,57,37,20
Abella de la Conca,2020,183,99,84
Abella de la Conca,2021,171,89,82
Abella de la Conca,2022,167,85,82
Abella de la Conca,2023,167,87,80
Abella de la Conca,2024,158,81,77
Abengibre,2020,761,365,396
Abengibre,2021,748,365,383
Abengibre,2022,739,363,376
Abengibre,2023,760,369,391
Abengibre,2024,759,374,385
Abenójar,2020,1351,701,650
Abenójar,2021,1339,691,648
Abenójar,2022,1314,680,634
Abenójar,2023,1328,686,642
Abenójar,2024,1324,684,640
Aberin,2020,340,181,159
Aberin,2021,346,187,159
Aberin,2022,371,201,170
Aberin,2023,368,197,171
Aberin,2024,383,203,180
Abertura,2020,404,200,204
Abertura,2021,400,204,196
Abertura,2022,388,195,193
Abertura,2023,377,190,187
Abertura,2024,368,187,181
Abezames,2020,59,30,29
Abezames,2021,58,29,29
Abezames,2022,65,34,31
Abezames,2023,64,35,29
Abezames,2024,60,34,26
Abia de la Obispalía,2020,61,37,24
Abia de la Obispalía,2021,57,35,22
Abia de la Obispalía,2022,60,37,23
Abia de la Obispalía,2023,61,38,23
Abia de la Obispalía,2024,59,38,21
Abia de las Torres,2020,170,92,78
Abia de las Torres,2021,167,90,77
Abia de las Torres,2022,169,93,76
Abia de las Torres,2023,167,90,77
Abia de las Torres,2024,170,92,78
Abiego,2020,258,135,123
Abiego,2021,271,138,133
Abiego,2022,278,139,139
Abiego,2023,261,134,127
Abiego,2024,264,131,133
Abizanda,2020,139,70,69
Abizanda,2021,143,73,70
Abizanda,2022,151,76,75
Abizanda,2023,162,87,75
Abizanda,2024,163,88,75
Abla,2020,1248,632,616
Abla,2021,1258,646,612
Abla,2022,1247,642,605
Abla,2023,1255,650,605
Abla,2024,1272,656,616
Ablanque,2020,55,30,25
Ablanque,2021,60,33,27
Ablanque,2022,63,35,28
Ablanque,2023,66,42,24
Ablanque,2024,73,49,24
Ablitas,2020,2484,1261,1223
Ablitas,2021,2480,1252,1228
Ablitas,2022,2557,1290,1267
Ablitas,2023,2610,1319,1291
Ablitas,2024,2669,1354,1315
Abrera,2020,12538,6325,6213
Abrera,2021,12620,6373,6247
Abrera,2022,12697,6414,6283
Abrera,2023,12848,6462,6386
Abrera,2024,13014,6534,6480
Abrucena,2020,1183,630,553
Abrucena,2021,1208,639,569
Abrucena,2022,1221,643,578
Abrucena,2023,1275,675,600
Abrucena,2024,1235,650,585
Abusejo,2020,175,93,82
Abusejo,2021,166,87,79
Abusejo,2022,161,84,77
Abusejo,2023,150,79,71
Abusejo,2024,143,73,70
Abáigar,2020,82,47,35
Abáigar,2021,84,49,35
Abáigar,2022,80,48,32
Abáigar,2023,82,47,35
Abáigar,2024,86,49,37
Abánades,2020,53,30,23
Abánades,2021,55,34,21
Abánades,2022,61,37,24
Abánades,2023,62,38,24
Abánades,2024,60,36,24
Abárzuza/Abartzuza,2020,544,277,267
Abárzuza/Abartzuza,2021,538,270,268
Abárzuza/Abartzuza,2022,527,264,263
Abárzuza/Abartzuza,2023,514,253,261
Abárzuza/Abartzuza,2024,518,258,260
"Acebeda, La",2020,68,34,34
"Acebeda, La",2021,55,26,29
"Acebeda, La",2022,62,32,30
"Acebeda, La",2023,67,34,33
"Acebeda, La",2024,68,37,31
Acebedo,2020,184,108,76
Acebedo,2021,185,106,79
Acebedo,2022,185,103,82
Acebedo,2023,182,102,80
Acebedo,2024,184,103,81
Acebo,2020,557,274,283
Acebo,2021,560,271,289
Acebo,2022,542,263,279
Acebo,2023,582,285,297
Acebo,2024,576,291,285
"Acebrón, El",2020,231,111,120
"Acebrón, El",2021,227,107,120
"Acebrón, El",2022,231,110,121
"Acebrón, El",2023,226,111,115
"Acebrón, El",2024,230,114,116
Acedera,2020,826,425,401
Acedera,2021,820,419,401
Acedera,2022,816,418,398
Acedera,2023,814,422,392
Acedera,2024,802,415,387
Acehúche,2020,802,408,394
Acehúche,2021,813,413,400
Acehúche,2022,816,416,400
Acehúche,2023,802,406,396
Acehúche,2024,805,410,395
Aceituna,2020,600,306,294
Aceituna,2021,587,299,288
Aceituna,2022,588,301,287
Aceituna,2023,581,299,282
Aceituna,2024,581,302,279
Acered,2020,158,91,67
Acered,2021,140,82,58
Acered,2022,138,78,60
Acered,2023,139,81,58
Acered,2024,141,85,56
Aceuchal,2020,5478,2737,2741
Aceuchal,2021,5467,2725,2742
Aceuchal,2022,5456,2714,2742
Aceuchal,2023,5446,2699,2747
Aceuchal,2024,5404,2681,2723
Adahuesca,2020,180,98,82
Adahuesca,2021,190,106,84
Adahuesca,2022,204,117,87
Adahuesca,2023,210,118,92
Adahuesca,2024,207,114,93
Adalia,2020,53,31,22
Adalia,2021,52,30,22
Adalia,2022,54,32,22
Adalia,2023,51,30,21
Adalia,2024,50,30,20
Adamuz,2020,4137,2124,2013
Adamuz,2021,4141,2122,2019
Adamuz,2022,4125,2098,2027
Adamuz,2023,4092,2082,2010
Adamuz,2024,4091,2067,2024
Adanero,2020,211,116,95
Adanero,2021,196,106,90
Adanero,2022,214,114,100
Adanero,2023,204,115,89
Adanero,2024,208,120,88
Adeje,2020,49030,24675,24355
Adeje,2021,48733,24562,24171
Adeje,2022,49270,24793,24477
Adeje,2023,50167,25085,25082
Adeje,2024,50549,25283,25266
Ademuz,2020,1037,558,479
Ademuz,2021,1027,556,471
Ademuz,2022,1000,535,465
Ademuz,2023,1004,538,466
Ademuz,2024,1004,538,466
Adiós,2020,152,87,65
Adiós,2021,167,94,73
Adiós,2022,165,97,68
Adiós,2023,172,97,75
Adiós,2024,191,103,88
Adobes,2020,35,20,15
Adobes,2021,32,18,14
Adobes,2022,28,16,12
Adobes,2023,30,18,12
Adobes,2024,28,17,11
Ador,2020,1730,919,811
