region_code,region_name,year,population
ES111,A Coruña,2022,1083768
ES112,Lugo,2022,1097258
ES113,Ourense,2022,1111160
ES114,Pontevedra,2022,1124817
ES12,Principado de Asturias,2022,1130587
ES120,Asturias,2022,1146183
ES13,Cantabria,2022,1162544
ES130,Cantabria,2022,1170142
ES2,Noreste,2022,1176240
ES21,País Vasco,2022,1178435
ES211,Araba/Álava,2022,1178623
ES212,Gipuzkoa,2022,1177987
ES42,Castilla-La Mancha,2022,302863
ES421,Albacete,2022,298995
ES422,Ciudad Real,2022,294938
ES423,Cuenca,2022,290666
ES424,Guadalajara,2022,287606
ES425,Toledo,2022,283822
ES43,Extremadura,2022,278548
ES431,Badajoz,2022,274982
ES432,Cáceres,2022,270074
ES5,Este,2022,266245
ES51,Cataluña,2022,259112
ES511,Barcelona,2022,252719
ES63,Ciudad de Ceuta,2022,780905
ES630,Ceuta,2022,798263
ES64,Ciudad de Melilla,2022,816222
ES640,Melilla,2022,834151
ES7,Canarias,2022,842981
ES70,Canarias,2022,862361
ES703,El Hierro,2022,883996
ES704,Fuerteventura,2022,895160
ES705,Gran Canaria,2022,906166
ES706,La Gomera,2022,912190
ES707,La Palma,2022,919511
ES708,Lanzarote,2022,925268
ES,Spain,2011,21313
ES1,Noroeste,2011,21177
ES11,Galicia,2011,21156
ES111,A Coruña,2011,21179
ES112,Lugo,2011,21078
ES113,Ourense,2011,21056
ES114,Pontevedra,2011,21017
ES12,Principado de Asturias,2011,20889
ES120,Asturias,2011,20919
ES13,Cantabria,2011,20827
ES130,Cantabria,2011,20751
ES2,Noreste,2011,20668
ES21,País Vasco,2011,20450
ES211,Araba/Álava,2011,20458
ES212,Gipuzkoa,2011,20547
ES213,Bizkaia,2011,20426
ES22,Comunidad Foral de Navarra,2011,20344
ES220,Navarra,2011,20320
ES23,La Rioja,2011,20251
ES230,La Rioja,2011,20118
ES24,Aragón,2011,20159
ES241,Huesca,2011,20437
ES242,Teruel,2011,20483
ES416,Segovia,2011,161842
ES417,Soria,2011,161909
ES418,Valladolid,2011,161948
ES419,Zamora,2011,162433
ES42,Castilla-La Mancha,2011,162841
ES421,Albacete,2011,163271
ES422,Ciudad Real,2011,162962
ES423,Cuenca,2011,162787
ES424,Guadalajara,2011,162471
ES425,Toledo,2011,162245
ES43,Extremadura,2011,162391
ES431,Badajoz,2011,162816
ES432,Cáceres,2011,163125
ES5,Este,2011,163578
ES51,Cataluña,2011,164390
ES511,Barcelona,2011,166024
ES512,Girona,2011,166795
ES513,Lleida,2011,167438
ES514,Tarragona,2011,168035
ES52,Comunitat Valenciana,2011,168822
ES521,Alicante/Alacant,2011,169560
ES522,Castellón/Castelló,2011,170352
ES523,Valencia/València,2011,172190
ES53,Illes Balears,2011,173325
ES617,Málaga,2011,331643
ES618,Sevilla,2011,333828
ES62,Región de Murcia,2011,333959
ES620,Murcia,2011,336102
ES63,Ciudad de Ceuta,2011,338349
ES630,Ceuta,2011,340571
ES64,Ciudad de Melilla,2011,342030
ES640,Melilla,2011,342140
ES7,Canarias,2011,343339
ES70,Canarias,2011,343566
ES703,El Hierro,2011,344668
ES704,Fuerteventura,2011,346137
ES705,Gran Canaria,2011,348105
ES706,La Gomera,2011,350242
ES707,La Palma,2011,353727
ES708,Lanzarote,2011,359244
ES709,Tenerife,2011,362042
ES113,Ourense,1990,186484
ES114,Pontevedra,1990,186553
ES12,Principado de Asturias,1990,186988
ES120,Asturias,1990,186991
ES13,Cantabria,1990,187328
ES130,Cantabria,1990,187783
ES2,Noreste,1990,188882
ES21,País Vasco,1990,189638
ES211,Araba/Álava,1990,190338
ES212,Gipuzkoa,1990,191527
ES213,Bizkaia,1990,192521
ES22,Comunidad Foral de Navarra,1990,194310
ES220,Navarra,1990,195642
ES23,La Rioja,1990,196241
ES230,La Rioja,1990,197260
ES24,Aragón,1990,197945
ES241,Huesca,1990,198841
ES242,Teruel,1990,199772
ES243,Zaragoza,1990,200423
ES3,Comunidad de Madrid,1990,201299
ES30,Comunidad de Madrid,1990,202502
ES300,Madrid,1990,203110
ES4,Centro (ES),1990,204378
ES41,Castilla y León,1990,206414
ES411,Ávila,1990,207736
ES422,Ciudad Real,1990,79484
ES423,Cuenca,1990,79428
ES424,Guadalajara,1990,79357
ES425,Toledo,1990,79374
ES43,Extremadura,1990,79464
ES431,Badajoz,1990,79671
ES432,Cáceres,1990,80262
ES5,Este,1990,80547
ES51,Cataluña,1990,80864
ES511,Barcelona,1990,81422
ES512,Girona,1990,81921
ES513,Lleida,1990,82741
ES514,Tarragona,1990,83134
ES52,Comunitat Valenciana,1990,83259
ES521,Alicante/Alacant,1990,83372
ES522,Castellón/Castelló,1990,83755
ES523,Valencia/València,1990,83862
ES53,Illes Balears,1990,84308
ES531,Eivissa y Formentera,1990,84732
ES532,Mallorca,1990,85378
ES533,Menorca,1990,85868
ES6,Sur,1990,86756
ES61,Andalucía,1990,87576
ES611,Almería,1990,88926
ES612,Cádiz,1990,89594
ES64,Ciudad de Melilla,1990,495368
ES640,Melilla,1990,496608
ES7,Canarias,1990,498631
ES70,Canarias,1990,500794
ES703,El Hierro,1990,502492
ES704,Fuerteventura,1990,505267
ES705,Gran Canaria,1990,508996
ES706,La Gomera,1990,512407
ES707,La Palma,1990,516609
ES708,Lanzarote,1990,521796
ES709,Tenerife,1990,527248
ES,Spain,1991,262576
ES1,Noroeste,1991,259036
ES11,Galicia,1991,255670
ES111,A Coruña,1991,252717
ES112,Lugo,1991,249467
ES113,Ourense,1991,246494
ES114,Pontevedra,1991,243580
ES12,Principado de Asturias,1991,240808
ES120,Asturias,1991,238173
ES13,Cantabria,1991,235477
ES130,Cantabria,1991,233767
ES2,Noreste,1991,227354
ES21,País Vasco,1991,223275
ES211,Araba/Álava,1991,219109
ES212,Gipuzkoa,1991,214998
ES213,Bizkaia,1991,210812
ES22,Comunidad Foral de Navarra,1991,206652
ES220,Navarra,1991,202270
ES23,La Rioja,1991,197841
ES230,La Rioja,1991,194978
ES24,Aragón,1991,192314
ES241,Huesca,1991,189623
ES242,Teruel,1991,187830
ES243,Zaragoza,1991,183374
ES3,Comunidad de Madrid,1991,176695
ES30,Comunidad de Madrid,1991,173568
ES300,Madrid,1991,167268
ES4,Centro (ES),1991,167654
ES41,Castilla y León,1991,169236
ES415,Salamanca,1991,164971
ES416,Segovia,1991,164001
ES417,Soria,1991,149093
ES418,Valladolid,1991,146056
ES419,Zamora,1991,143164
ES42,Castilla-La Mancha,1991,140433
ES421,Albacete,1991,137714
ES422,Ciudad Real,1991,135080
ES423,Cuenca,1991,132438
ES424,Guadalajara,1991,130097
ES425,Toledo,1991,127825
ES43,Extremadura,1991,125369
ES431,Badajoz,1991,123600
ES432,Cáceres,1991,120971
ES5,Este,1991,118781
ES51,Cataluña,1991,116478
ES511,Barcelona,1991,114176
ES512,Girona,1991,111865
ES513,Lleida,1991,109460
ES514,Tarragona,1991,107049
ES52,Comunitat Valenciana,1991,104634
ES521,Alicante/Alacant,1991,103632
ES522,Castellón/Castelló,1991,102029
ES523,Valencia/València,1991,101107
ES53,Illes Balears,1991,100696
ES531,Eivissa y Formentera,1991,169569
ES532,Mallorca,1991,166810
ES533,Menorca,1991,163977
ES6,Sur,1991,160946
ES61,Andalucía,1991,160027
ES611,Almería,1991,159939
ES616,Jaén,1991,152392
ES617,Málaga,1991,151827
ES618,Sevilla,1991,139290
ES62,Región de Murcia,1991,136677
ES620,Murcia,1991,134281
ES63,Ciudad de Ceuta,1991,132052
ES630,Ceuta,1991,129800
ES64,Ciudad de Melilla,1991,127604
ES640,Melilla,1991,125453
ES7,Canarias,1991,123477
ES70,Canarias,1991,121583
ES703,El Hierro,1991,119594
ES704,Fuerteventura,1991,118433
ES705,Gran Canaria,1991,115037
ES706,La Gomera,1991,112979
ES707,La Palma,1991,110812
ES708,Lanzarote,1991,108586
ES709,Tenerife,1991,106512
ES,Spain,2008,863764
ES1,Noroeste,2008,869878
ES11,Galicia,2008,878601
ES111,A Coruña,2008,890194
ES112,Lugo,2008,902429
ES113,Ourense,2008,914476
ES114,Pontevedra,2008,929764
ES12,Principado de Asturias,2008,949084
ES120,Asturias,2008,966365
ES13,Cantabria,2008,572655
ES130,Cantabria,2008,587141
ES2,Noreste,2008,603069
ES21,País Vasco,2008,619231
ES211,Araba/Álava,2008,632944
ES212,Gipuzkoa,2008,645399
ES213,Bizkaia,2008,656333
ES22,Comunidad Foral de Navarra,2008,666313
ES220,Navarra,2008,675215
ES23,La Rioja,2008,682862
ES230,La Rioja,2008,690497
ES24,Aragón,2008,697549
ES241,Huesca,2008,705539
ES242,Teruel,2008,713720
ES243,Zaragoza,2008,722893
ES3,Comunidad de Madrid,2008,733067
ES30,Comunidad de Madrid,2008,744013
ES300,Madrid,2008,757916
ES4,Centro (ES),2008,776333
