cod_prov,cod_muni,municipio,year,population
,,Ababuj. Total. Total habitantes. Personas. ,2024,74.0
,,Ababuj. Total. Total habitantes. Personas. ,2023,70.0
,,Ababuj. Total. Total habitantes. Personas. ,2022,72.0
,,Ababuj. Total. Total habitantes. Personas. ,2021,76.0
,,Ababuj. Total. Total habitantes. Personas. ,2020,77.0
,,Ababuj. Hombres. Total habitantes. Personas. ,2024,44.0
,,Ababuj. Hombres. Total habitantes. Personas. ,2023,43.0
,,Ababuj. Hombres. Total habitantes. Personas. ,2022,44.0
,,Ababuj. Hombres. Total habitantes. Personas. ,2021,44.0
,,Ababuj. Hombres. Total habitantes. Personas. ,2020,46.0
,,Ababuj. Mujeres. Total habitantes. Personas. ,2024,30.0
,,Ababuj. Mujeres. Total habitantes. Personas. ,2023,27.0
,,Ababuj. Mujeres. Total habitantes. Personas. ,2022,28.0
,,Ababuj. Mujeres. Total habitantes. Personas. ,2021,32.0
,,Ababuj. Mujeres. Total habitantes. Personas. ,2020,31.0
,,Abades. Total. Total habitantes. Personas. ,2024,859.0
,,Abades. Total. Total habitantes. Personas. ,2023,859.0
,,Abades. Total. Total habitantes. Personas. ,2022,839.0
,,Abades. Total. Total habitantes. Personas. ,2021,835.0
,,Abades. Total. Total habitantes. Personas. ,2020,857.0
,,Abades. Hombres. Total habitantes. Personas. ,2024,422.0
,,Abades. Hombres. Total habitantes. Personas. ,2023,421.0
,,Abades. Hombres. Total habitantes. Personas. ,2022,411.0
,,Abades. Hombres. Total habitantes. Personas. ,2021,417.0
,,Abades. Hombres. Total habitantes. Personas. ,2020,423.0
,,Abades. Mujeres. Total habitantes. Personas. ,2024,437.0
,,Abades. Mujeres. Total habitantes. Personas. ,2023,438.0
,,Abades. Mujeres. Total habitantes. Personas. ,2022,428.0
,,Abades. Mujeres. Total habitantes. Personas. ,2021,418.0
,,Abades. Mujeres. Total habitantes. Personas. ,2020,434.0
,,Abadía. Total. Total habitantes. Personas. ,2024,331.0
,,Abadía. Total. Total habitantes. Personas. ,2023,338.0
,,Abadía. Total. Total habitantes. Personas. ,2022,340.0
,,Abadía. Total. Total habitantes. Personas. ,2021,359.0
,,Abadía. Total. Total habitantes. Personas. ,2020,336.0
,,Abadía. Hombres. Total habitantes. Personas. ,2024,183.0
,,Abadía. Hombres. Total habitantes. Personas. ,2023,185.0
,,Abadía. Hombres. Total habitantes. Personas. ,2022,185.0
,,Abadía. Hombres. Total habitantes. Personas. ,2021,193.0
,,Abadía. Hombres. Total habitantes. Personas. ,2020,183.0
,,Abadía. Mujeres. Total habitantes. Personas. ,2024,148.0
,,Abadía. Mujeres. Total habitantes. Personas. ,2023,153.0
,,Abadía. Mujeres. Total habitantes. Personas. ,2022,155.0
,,Abadía. Mujeres. Total habitantes. Personas. ,2021,166.0
,,Abadía. Mujeres. Total habitantes. Personas. ,2020,153.0
,,Abadín. Total. Total habitantes. Personas. ,2024,2217.0
,,Abadín. Total. Total habitantes. Personas. ,2023,2203.0
,,Abadín. Total. Total habitantes. Personas. ,2022,2259.0
,,Abadín. Total. Total habitantes. Personas. ,2021,2297.0
,,Abadín. Total. Total habitantes. Personas. ,2020,2322.0
,,Abadín. Hombres. Total habitantes. Personas. ,2024,1103.0
,,Abadín. Hombres. Total habitantes. Personas. ,2023,1078.0
,,Abadín. Hombres. Total habitantes. Personas. ,2022,1112.0
,,Abadín. Hombres. Total habitantes. Personas. ,2021,1144.0
,,Abadín. Hombres. Total habitantes. Personas. ,2020,1144.0
,,Abadín. Mujeres. Total habitantes. Personas. ,2024,1114.0
,,Abadín. Mujeres. Total habitantes. Personas. ,2023,1125.0
,,Abadín. Mujeres. Total habitantes. Personas. ,2022,1147.0
,,Abadín. Mujeres. Total habitantes. Personas. ,2021,1153.0
,,Abadín. Mujeres. Total habitantes. Personas. ,2020,1178.0
,,Abadiño. Total. Total habitantes. Personas. ,2024,7742.0
,,Abadiño. Total. Total habitantes. Personas. ,2023,7708.0
,,Abadiño. Total. Total habitantes. Personas. ,2022,7708.0
,,Abadiño. Total. Total habitantes. Personas. ,2021,7618.0
,,Abadiño. Total. Total habitantes. Personas. ,2020,7658.0
,,Abadiño. Hombres. Total habitantes. Personas. ,2024,3858.0
,,Abadiño. Hombres. Total habitantes. Personas. ,2023,3864.0
,,Abadiño. Hombres. Total habitantes. Personas. ,2022,3860.0
,,Abadiño. Hombres. Total habitantes. Personas. ,2021,3829.0
,,Abadiño. Hombres. Total habitantes. Personas. ,2020,3862.0
,,Abadiño. Mujeres. Total habitantes. Personas. ,2024,3884.0
,,Abadiño. Mujeres. Total habitantes. Personas. ,2023,3844.0
,,Abadiño. Mujeres. Total habitantes. Personas. ,2022,3848.0
,,Abadiño. Mujeres. Total habitantes. Personas. ,2021,3789.0
,,Abadiño. Mujeres. Total habitantes. Personas. ,2020,3796.0
,,Abáigar. Total. Total habitantes. Personas. ,2024,86.0
,,Abáigar. Total. Total habitantes. Personas. ,2023,82.0
,,Abáigar. Total. Total habitantes. Personas. ,2022,80.0
,,Abáigar. Total. Total habitantes. Personas. ,2021,84.0
,,Abáigar. Total. Total habitantes. Personas. ,2020,82.0
,,Abáigar. Hombres. Total habitantes. Personas. ,2024,49.0
,,Abáigar. Hombres. Total habitantes. Personas. ,2023,47.0
,,Abáigar. Hombres. Total habitantes. Personas. ,2022,48.0
,,Abáigar. Hombres. Total habitantes. Personas. ,2021,49.0
,,Abáigar. Hombres. Total habitantes. Personas. ,2020,47.0
,,Abáigar. Mujeres. Total habitantes. Personas. ,2024,37.0
,,Abáigar. Mujeres. Total habitantes. Personas. ,2023,35.0
,,Abáigar. Mujeres. Total habitantes. Personas. ,2022,32.0
,,Abáigar. Mujeres. Total habitantes. Personas. ,2021,35.0
,,Abáigar. Mujeres. Total habitantes. Personas. ,2020,35.0
,,Abajas. Total. Total habitantes. Personas. ,2024,28.0
,,Abajas. Total. Total habitantes. Personas. ,2023,28.0
,,Abajas. Total. Total habitantes. Personas. ,2022,29.0
,,Abajas. Total. Total habitantes. Personas. ,2021,29.0
,,Abajas. Total. Total habitantes. Personas. ,2020,31.0
,,Abajas. Hombres. Total habitantes. Personas. ,2024,17.0
,,Abajas. Hombres. Total habitantes. Personas. ,2023,18.0
,,Abajas. Hombres. Total habitantes. Personas. ,2022,19.0
,,Abajas. Hombres. Total habitantes. Personas. ,2021,19.0
,,Abajas. Hombres. Total habitantes. Personas. ,2020,20.0
,,Abajas. Mujeres. Total habitantes. Personas. ,2024,11.0
,,Abajas. Mujeres. Total habitantes. Personas. ,2023,10.0
,,Abajas. Mujeres. Total habitantes. Personas. ,2022,10.0
,,Abajas. Mujeres. Total habitantes. Personas. ,2021,10.0
,,Abajas. Mujeres. Total habitantes. Personas. ,2020,11.0
,,Ábalos. Total. Total habitantes. Personas. ,2024,256.0
,,Ábalos. Total. Total habitantes. Personas. ,2023,258.0
,,Ábalos. Total. Total habitantes. Personas. ,2022,260.0
,,Ábalos. Total. Total habitantes. Personas. ,2021,248.0
,,Ábalos. Total. Total habitantes. Personas. ,2020,255.0
,,Ábalos. Hombres. Total habitantes. Personas. ,2024,144.0
,,Ábalos. Hombres. Total habitantes. Personas. ,2023,146.0
,,Ábalos. Hombres. Total habitantes. Personas. ,2022,149.0
,,Ábalos. Hombres. Total habitantes. Personas. ,2021,144.0
,,Ábalos. Hombres. Total habitantes. Personas. ,2020,150.0
,,Ábalos. Mujeres. Total habitantes. Personas. ,2024,112.0
,,Ábalos. Mujeres. Total habitantes. Personas. ,2023,112.0
,,Ábalos. Mujeres. Total habitantes. Personas. ,2022,111.0
,,Ábalos. Mujeres. Total habitantes. Personas. ,2021,104.0
,,Ábalos. Mujeres. Total habitantes. Personas. ,2020,105.0
,,Abaltzisketa. Total. Total habitantes. Personas. ,2024,319.0
,,Abaltzisketa. Total. Total habitantes. Personas. ,2023,326.0
,,Abaltzisketa. Total. Total habitantes. Personas. ,2022,309.0
,,Abaltzisketa. Total. Total habitantes. Personas. ,2021,312.0
,,Abaltzisketa. Total. Total habitantes. Personas. ,2020,318.0
,,Abaltzisketa. Hombres. Total habitantes. Personas. ,2024,179.0
,,Abaltzisketa. Hombres. Total habitantes. Personas. ,2023,185.0
,,Abaltzisketa. Hombres. Total habitantes. Personas. ,2022,169.0
,,Abaltzisketa. Hombres. Total habitantes. Personas. ,2021,168.0
,,Abaltzisketa. Hombres. Total habitantes. Personas. ,2020,175.0
,,Abaltzisketa. Mujeres. Total habitantes. Personas. ,2024,140.0
,,Abaltzisketa. Mujeres. Total habitantes. Personas. ,2023,141.0
,,Abaltzisketa. Mujeres. Total habitantes. Personas. ,2022,140.0
,,Abaltzisketa. Mujeres. Total habitantes. Personas. ,2021,144.0
,,Abaltzisketa. Mujeres. Total habitantes. Personas. ,2020,143.0
,,Abánades. Total. Total habitantes. Personas. ,2024,60.0
,,Abánades. Total. Total habitantes. Personas. ,2023,62.0
,,Abánades. Total. Total habitantes. Personas. ,2022,61.0
,,Abánades. Total. Total habitantes. Personas. ,2021,55.0
,,Abánades. Total. Total habitantes. Personas. ,2020,53.0
,,Abánades. Hombres. Total habitantes. Personas. ,2024,36.0
