cod_prov,NombreProvincia,year,PoblacionProvincial
15,A Coruña,1990,1100923.0
15,A Coruña,1991,1097943.0
15,A Coruña,1992,1098032.0
15,A Coruña,1993,1098871.0
15,A Coruña,1994,1099499.0
15,A Coruña,1995,1099299.0
15,A Coruña,1996,1098598.0
15,A Coruña,1997,1097600.0
15,A Coruña,1998,1097304.0
15,A Coruña,1999,1097014.0
15,A Coruña,2000,1096111.0
15,A Coruña,2001,1095881.0
15,A Coruña,2002,1096076.0
15,A Coruña,2003,1100951.0
15,A Coruña,2004,1104703.0
15,A Coruña,2005,1109964.0
15,A Coruña,2006,1115415.0
15,A Coruña,2007,1121341.0
15,A Coruña,2008,1128598.0
15,A Coruña,2009,1135281.0
15,A Coruña,2010,1138110.0
15,A Coruña,2011,1140071.0
15,A Coruña,2012,1141178.0
15,A Coruña,2013,1137890.0
15,A Coruña,2014,1132596.0
15,A Coruña,2015,1127596.0
15,A Coruña,2016,1123015.0
15,A Coruña,2017,1120302.0
15,A Coruña,2018,1120074.0
15,A Coruña,2019,1120432.0
15,A Coruña,2020,1121994.0
15,A Coruña,2021,1120501.0
15,A Coruña,2022,1119166.0
15,A Coruña,2023,1123884.0
15,A Coruña,2024,1128449.0
43,Tarragona,1990,342765.0
43,Tarragona,1991,342820.0
43,Tarragona,1992,344655.0
43,Tarragona,1993,347060.0
43,Tarragona,1994,349083.0
43,Tarragona,1995,351295.0
43,Tarragona,1996,353525.0
43,Tarragona,1997,355497.0
43,Tarragona,1998,357538.0
43,Tarragona,1999,359296.0
43,Tarragona,2000,361210.0
43,Tarragona,2001,363038.0
43,Tarragona,2002,365532.0
43,Tarragona,2003,370387.0
43,Tarragona,2004,374711.0
43,Tarragona,2005,379279.0
43,Tarragona,2006,383457.0
43,Tarragona,2007,389126.0
43,Tarragona,2008,394526.0
43,Tarragona,2009,397885.0
43,Tarragona,2010,399445.0
43,Tarragona,2011,400846.0
43,Tarragona,2012,401579.0
43,Tarragona,2013,399093.0
43,Tarragona,2014,396017.0
43,Tarragona,2015,394012.0
43,Tarragona,2016,391865.0
43,Tarragona,2017,390225.0
43,Tarragona,2018,388948.0
43,Tarragona,2019,387818.0
43,Tarragona,2020,387838.0
43,Tarragona,2021,386726.0
43,Tarragona,2022,385967.0
43,Tarragona,2023,387529.0
43,Tarragona,2024,389070.0
30,Murcia,1990,1278384.0
30,Murcia,1991,1290865.0
30,Murcia,1992,1306647.0
30,Murcia,1993,1323214.0
30,Murcia,1994,1338876.0
30,Murcia,1995,1354317.0
30,Murcia,1996,1369564.0
30,Murcia,1997,1384693.0
30,Murcia,1998,1399556.0
30,Murcia,1999,1414892.0
30,Murcia,2000,1430451.0
30,Murcia,2001,1447225.0
30,Murcia,2002,1478298.0
30,Murcia,2003,1542321.0
30,Murcia,2004,1602172.0
30,Murcia,2005,1661655.0
30,Murcia,2006,1713931.0
30,Murcia,2007,1766322.0
30,Murcia,2008,1817518.0
30,Murcia,2009,1836136.0
30,Murcia,2010,1840085.0
30,Murcia,2011,1844433.0
30,Murcia,2012,1853206.0
30,Murcia,2013,1852733.0
30,Murcia,2014,1848236.0
30,Murcia,2015,1838578.0
30,Murcia,2016,1837873.0
30,Murcia,2017,1836715.0
30,Murcia,2018,1839319.0
30,Murcia,2019,1855384.0
30,Murcia,2020,1877627.0
30,Murcia,2021,1887036.0
30,Murcia,2022,1907497.0
30,Murcia,2023,1955268.0
30,Murcia,2024,1993289.0
16,Cuenca,1990,450797.0
16,Cuenca,1991,454951.0
16,Cuenca,1992,462052.0
16,Cuenca,1993,470038.0
16,Cuenca,1994,477638.0
16,Cuenca,1995,485082.0
16,Cuenca,1996,492536.0
16,Cuenca,1997,499714.0
16,Cuenca,1998,507104.0
16,Cuenca,1999,514492.0
16,Cuenca,2000,522095.0
16,Cuenca,2001,529788.0
16,Cuenca,2002,545527.0
16,Cuenca,2003,560652.0
16,Cuenca,2004,577424.0
16,Cuenca,2005,603218.0
16,Cuenca,2006,627719.0
16,Cuenca,2007,642792.0
16,Cuenca,2008,659441.0
16,Cuenca,2009,673038.0
16,Cuenca,2010,680476.0
16,Cuenca,2011,686446.0
16,Cuenca,2012,689320.0
16,Cuenca,2013,692434.0
16,Cuenca,2014,690750.0
16,Cuenca,2015,694051.0
16,Cuenca,2016,700055.0
16,Cuenca,2017,704871.0
16,Cuenca,2018,707319.0
16,Cuenca,2019,714123.0
16,Cuenca,2020,724003.0
16,Cuenca,2021,730430.0
16,Cuenca,2022,739543.0
16,Cuenca,2023,753364.0
16,Cuenca,2024,760964.0
35,Las Palmas,1990,1102849.0
35,Las Palmas,1991,1095557.0
35,Las Palmas,1992,1092874.0
35,Las Palmas,1993,1091116.0
35,Las Palmas,1994,1088497.0
35,Las Palmas,1995,1086001.0
35,Las Palmas,1996,1082714.0
35,Las Palmas,1997,1079198.0
