SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_02077,02077,Villa de Ves,1.05545306,61.0,0,0,0.0,0.0,0,0.0,0,0,0,0,14.541541406185912,18.30994460658802,0,0.0,aislado
ES_02079,02079,Villamalea,30.80544168,3953.0,0,0,0.0,0.0,0,0.0,0,0,0,3,8.456581373136121,10.253387150968734,0,0.0,periferico
ES_02080,02080,Villapalacios,6.35273291,556.0,1,1,0.15741256781406224,0.0,0,17.98561151079137,0,1,1,1,1.4483485419836466,14.232643511835915,0,0.0,directo
ES_02081,02081,Villarrobledo,29.0809823,25090.0,3,3,0.10316020171024279,0.0,0,1.195695496213631,0,0,3,5,9.705081885419602,10.302124464766763,0,0.0,directo
ES_02082,02082,Villatoya,6.10689828,114.0,1,1,0.16374924784239242,0.0,0,87.71929824561403,0,1,1,1,1.6493640594861048,14.512382048634354,0,0.0,directo
ES_02083,02083,Villavaliente,5.99888047,209.0,0,0,0.0,0.0,0,0.0,0,0,0,2,10.122988413000801,13.904420150768585,0,0.0,periferico
ES_02086,02086,Yeste,4.88759008,2504.0,2,2,0.40919961929376863,0.0,0,7.987220447284344,0,0,3,3,6.562822431921229,11.265662061743095,0,0.0,directo
ES_02901,02901,Pozo Cañada,23.18985884,2713.0,0,0,0.0,0.0,0,0.0,0,1,1,2,4.951075314389817,9.981325914151794,0,0.0,funcional
ES_03001,03001,"Atzúbia, l'",42.60275728,625.0,0,0,0.0,0.0,0,0.0,0,0,0,2,6.797957018468847,15.841319674469714,0,0.0,periferico
ES_03002,03002,Agost,76.05129539,5069.0,1,1,0.013149019945970442,1.0,1,1.9727756954034326,0,0,8,61,5.854867122986156,16.2672937062695,0,0.0,directo
ES_03003,03003,Agres,23.97215445,619.0,2,2,0.08343013157918311,0.0,0,32.31017770597739,0,2,2,36,1.7924698552646028,12.386978536987817,0,0.0,directo
ES_03004,03004,Aigües,61.9140342,1144.0,0,0,0.0,0.0,0,0.0,0,0,0,14,6.847738913062501,15.449412007995273,0,0.0,periferico
ES_03005,03005,Albatera,212.8110661,13095.0,0,0,0.0,0.0,0,0.0,0,0,0,5,9.135307917745006,16.177239762601364,0,0.0,periferico
ES_03006,03006,Alcalalí,96.65158902,1392.0,3,3,0.03103932413753915,0.0,0,21.551724137931036,0,7,3,12,1.2070220673186653,15.776132737417738,0,0.0,directo
ES_03007,03007,Alcosser,55.21618074,260.0,0,0,0.0,0.0,0,0.0,0,8,0,30,3.5473108649178617,14.605787709557447,0,0.0,periferico
ES_03008,03008,Alcoleja,13.20295184,192.0,1,1,0.0757406383147119,0.0,0,52.083333333333336,0,1,1,2,1.653020775008215,16.841937260924077,0,0.0,directo
ES_03009,03009,Alcoi,458.57235496,59563.0,183,183,0.39906461438558066,0.13114754098360656,24,30.7237714688649,0,88,186,201,2.4817282376230287,6.960098728658854,3,0.01639344262295082,directo
ES_03010,03010,Alfafara,21.18676427,419.0,0,0,0.0,0.0,0,0.0,0,0,0,62,5.160497054647807,13.434759054664953,0,0.0,periferico
ES_03012,03012,Algorfa,199.23333628,3684.0,0,0,0.0,0.0,0,0.0,0,1,0,19,4.692064226513374,15.36884268623757,0,0.0,periferico
ES_03013,03013,Algueña,75.83261897,1398.0,1,1,0.013186937410082172,0.0,0,7.153075822603719,1,1,1,3,0.6507942565962239,8.696134006613063,0,0.0,directo
ES_03014,03014,Alacant,1745.42694887,350598.0,973,973,0.5574567303604004,0.7255909558067831,706,27.75258273007832,1,255,1110,1443,0.9838942722081869,8.473006313483246,60,0.06166495375128469,directo
ES_03015,03015,Almoradí,510.76952872,21775.0,8,8,0.01566264146580588,0.0,0,3.673938002296211,0,6,8,27,4.177194447641103,15.987435152648729,0,0.0,directo
