cod_prov,cod_muni,municipio,year,population
,,Ababuj. Total. Total habitantes. Personas. ,2024,74.0
,,Ababuj. Hombres. Total habitantes. Personas. ,2024,44.0
,,Ababuj. Mujeres. Total habitantes. Personas. ,2024,30.0
,,Abades. Total. Total habitantes. Personas. ,2024,859.0
,,Abades. Hombres. Total habitantes. Personas. ,2024,422.0
,,Abades. Mujeres. Total habitantes. Personas. ,2024,437.0
,,Abadía. Total. Total habitantes. Personas. ,2024,331.0
,,Abadía. Hombres. Total habitantes. Personas. ,2024,183.0
,,Abadía. Mujeres. Total habitantes. Personas. ,2024,148.0
,,Abadín. Total. Total habitantes. Personas. ,2024,2217.0
,,Abadín. Hombres. Total habitantes. Personas. ,2024,1103.0
,,Abadín. Mujeres. Total habitantes. Personas. ,2024,1114.0
,,Abadiño. Total. Total habitantes. Personas. ,2024,7742.0
,,Abadiño. Hombres. Total habitantes. Personas. ,2024,3858.0
,,Abadiño. Mujeres. Total habitantes. Personas. ,2024,3884.0
,,Abáigar. Total. Total habitantes. Personas. ,2024,86.0
,,Abáigar. Hombres. Total habitantes. Personas. ,2024,49.0
,,Abáigar. Mujeres. Total habitantes. Personas. ,2024,37.0
,,Abajas. Total. Total habitantes. Personas. ,2024,28.0
,,Abajas. Hombres. Total habitantes. Personas. ,2024,17.0
,,Abajas. Mujeres. Total habitantes. Personas. ,2024,11.0
,,Ábalos. Total. Total habitantes. Personas. ,2024,256.0
,,Ábalos. Hombres. Total habitantes. Personas. ,2024,144.0
,,Ábalos. Mujeres. Total habitantes. Personas. ,2024,112.0
,,Abaltzisketa. Total. Total habitantes. Personas. ,2024,319.0
,,Abaltzisketa. Hombres. Total habitantes. Personas. ,2024,179.0
,,Abaltzisketa. Mujeres. Total habitantes. Personas. ,2024,140.0
,,Abánades. Total. Total habitantes. Personas. ,2024,60.0
,,Abánades. Hombres. Total habitantes. Personas. ,2024,36.0
,,Abánades. Mujeres. Total habitantes. Personas. ,2024,24.0
,,Abanilla. Total. Total habitantes. Personas. ,2024,6206.0
,,Abanilla. Hombres. Total habitantes. Personas. ,2024,3180.0
,,Abanilla. Mujeres. Total habitantes. Personas. ,2024,3026.0
,,Abanto. Total. Total habitantes. Personas. ,2024,80.0
,,Abanto. Hombres. Total habitantes. Personas. ,2024,51.0
,,Abanto. Mujeres. Total habitantes. Personas. ,2024,29.0
,,Abanto y Ciérvana-Abanto Zierbena. Total. Total habitantes. Personas. ,2024,9409.0
,,Abanto y Ciérvana-Abanto Zierbena. Hombres. Total habitantes. Personas. ,2024,4692.0
,,Abanto y Ciérvana-Abanto Zierbena. Mujeres. Total habitantes. Personas. ,2024,4717.0
,,Abarán. Total. Total habitantes. Personas. ,2024,13000.0
,,Abarán. Hombres. Total habitantes. Personas. ,2024,6488.0
,,Abarán. Mujeres. Total habitantes. Personas. ,2024,6512.0
,,Abarca de Campos. Total. Total habitantes. Personas. ,2024,38.0
,,Abarca de Campos. Hombres. Total habitantes. Personas. ,2024,23.0
,,Abarca de Campos. Mujeres. Total habitantes. Personas. ,2024,15.0
,,Abárzuza/Abartzuza. Total. Total habitantes. Personas. ,2024,518.0
,,Abárzuza/Abartzuza. Hombres. Total habitantes. Personas. ,2024,258.0
,,Abárzuza/Abartzuza. Mujeres. Total habitantes. Personas. ,2024,260.0
,,Abaurregaina/Abaurrea Alta. Total. Total habitantes. Personas. ,2024,119.0
,,Abaurregaina/Abaurrea Alta. Hombres. Total habitantes. Personas. ,2024,69.0
,,Abaurregaina/Abaurrea Alta. Mujeres. Total habitantes. Personas. ,2024,50.0
,,Abaurrepea/Abaurrea Baja. Total. Total habitantes. Personas. ,2024,29.0
,,Abaurrepea/Abaurrea Baja. Hombres. Total habitantes. Personas. ,2024,18.0
,,Abaurrepea/Abaurrea Baja. Mujeres. Total habitantes. Personas. ,2024,11.0
,,Abegondo. Total. Total habitantes. Personas. ,2024,5578.0
,,Abegondo. Hombres. Total habitantes. Personas. ,2024,2784.0
,,Abegondo. Mujeres. Total habitantes. Personas. ,2024,2794.0
,,Abejar. Total. Total habitantes. Personas. ,2024,386.0
,,Abejar. Hombres. Total habitantes. Personas. ,2024,199.0
,,Abejar. Mujeres. Total habitantes. Personas. ,2024,187.0
,,Abejuela. Total. Total habitantes. Personas. ,2024,57.0
,,Abejuela. Hombres. Total habitantes. Personas. ,2024,37.0
,,Abejuela. Mujeres. Total habitantes. Personas. ,2024,20.0
,,Abella de la Conca. Total. Total habitantes. Personas. ,2024,158.0
,,Abella de la Conca. Hombres. Total habitantes. Personas. ,2024,81.0
,,Abella de la Conca. Mujeres. Total habitantes. Personas. ,2024,77.0
,,Abengibre. Total. Total habitantes. Personas. ,2024,759.0
,,Abengibre. Hombres. Total habitantes. Personas. ,2024,374.0
,,Abengibre. Mujeres. Total habitantes. Personas. ,2024,385.0
,,Abenójar. Total. Total habitantes. Personas. ,2024,1324.0
,,Abenójar. Hombres. Total habitantes. Personas. ,2024,684.0
,,Abenójar. Mujeres. Total habitantes. Personas. ,2024,640.0
,,Aberin. Total. Total habitantes. Personas. ,2024,383.0
,,Aberin. Hombres. Total habitantes. Personas. ,2024,203.0
,,Aberin. Mujeres. Total habitantes. Personas. ,2024,180.0
,,Abertura. Total. Total habitantes. Personas. ,2024,368.0
,,Abertura. Hombres. Total habitantes. Personas. ,2024,187.0
,,Abertura. Mujeres. Total habitantes. Personas. ,2024,181.0
,,Abezames. Total. Total habitantes. Personas. ,2024,60.0
,,Abezames. Hombres. Total habitantes. Personas. ,2024,34.0
,,Abezames. Mujeres. Total habitantes. Personas. ,2024,26.0
,,Abia de la Obispalía. Total. Total habitantes. Personas. ,2024,59.0
,,Abia de la Obispalía. Hombres. Total habitantes. Personas. ,2024,38.0
,,Abia de la Obispalía. Mujeres. Total habitantes. Personas. ,2024,21.0
,,Abia de las Torres. Total. Total habitantes. Personas. ,2024,170.0
,,Abia de las Torres. Hombres. Total habitantes. Personas. ,2024,92.0
,,Abia de las Torres. Mujeres. Total habitantes. Personas. ,2024,78.0
,,Abiego. Total. Total habitantes. Personas. ,2024,264.0
,,Abiego. Hombres. Total habitantes. Personas. ,2024,131.0
,,Abiego. Mujeres. Total habitantes. Personas. ,2024,133.0
,,Abizanda. Total. Total habitantes. Personas. ,2024,163.0
,,Abizanda. Hombres. Total habitantes. Personas. ,2024,88.0
,,Abizanda. Mujeres. Total habitantes. Personas. ,2024,75.0
,,Abla. Total. Total habitantes. Personas. ,2024,1272.0
,,Abla. Hombres. Total habitantes. Personas. ,2024,656.0
,,Abla. Mujeres. Total habitantes. Personas. ,2024,616.0
,,Ablanque. Total. Total habitantes. Personas. ,2024,73.0
,,Ablanque. Hombres. Total habitantes. Personas. ,2024,49.0
,,Ablanque. Mujeres. Total habitantes. Personas. ,2024,24.0
,,Ablitas. Total. Total habitantes. Personas. ,2024,2669.0
,,Ablitas. Hombres. Total habitantes. Personas. ,2024,1354.0
,,Ablitas. Mujeres. Total habitantes. Personas. ,2024,1315.0
,,Abrera. Total. Total habitantes. Personas. ,2024,13014.0
,,Abrera. Hombres. Total habitantes. Personas. ,2024,6534.0
,,Abrera. Mujeres. Total habitantes. Personas. ,2024,6480.0
,,Abrucena. Total. Total habitantes. Personas. ,2024,1235.0
,,Abrucena. Hombres. Total habitantes. Personas. ,2024,650.0
,,Abrucena. Mujeres. Total habitantes. Personas. ,2024,585.0
,,Abusejo. Total. Total habitantes. Personas. ,2024,143.0
,,Abusejo. Hombres. Total habitantes. Personas. ,2024,73.0
,,Abusejo. Mujeres. Total habitantes. Personas. ,2024,70.0
,,"Acebeda, La. Total. Total habitantes. Personas. ",2024,68.0
,,"Acebeda, La. Hombres. Total habitantes. Personas. ",2024,37.0
,,"Acebeda, La. Mujeres. Total habitantes. Personas. ",2024,31.0
,,Acebedo. Total. Total habitantes. Personas. ,2024,184.0
,,Acebedo. Hombres. Total habitantes. Personas. ,2024,103.0
,,Acebedo. Mujeres. Total habitantes. Personas. ,2024,81.0
,,Acebo. Total. Total habitantes. Personas. ,2024,576.0
,,Acebo. Hombres. Total habitantes. Personas. ,2024,291.0
,,Acebo. Mujeres. Total habitantes. Personas. ,2024,285.0
,,"Acebrón, El. Total. Total habitantes. Personas. ",2024,230.0
,,"Acebrón, El. Hombres. Total habitantes. Personas. ",2024,114.0
,,"Acebrón, El. Mujeres. Total habitantes. Personas. ",2024,116.0
,,Acedera. Total. Total habitantes. Personas. ,2024,802.0
,,Acedera. Hombres. Total habitantes. Personas. ,2024,415.0
,,Acedera. Mujeres. Total habitantes. Personas. ,2024,387.0
,,Acehúche. Total. Total habitantes. Personas. ,2024,805.0
,,Acehúche. Hombres. Total habitantes. Personas. ,2024,410.0
,,Acehúche. Mujeres. Total habitantes. Personas. ,2024,395.0
,,Aceituna. Total. Total habitantes. Personas. ,2024,581.0
,,Aceituna. Hombres. Total habitantes. Personas. ,2024,302.0
,,Aceituna. Mujeres. Total habitantes. Personas. ,2024,279.0
,,Acered. Total. Total habitantes. Personas. ,2024,141.0
,,Acered. Hombres. Total habitantes. Personas. ,2024,85.0
,,Acered. Mujeres. Total habitantes. Personas. ,2024,56.0
,,Aceuchal. Total. Total habitantes. Personas. ,2024,5404.0
,,Aceuchal. Hombres. Total habitantes. Personas. ,2024,2681.0
,,Aceuchal. Mujeres. Total habitantes. Personas. ,2024,2723.0
,,Adahuesca. Total. Total habitantes. Personas. ,2024,207.0
,,Adahuesca. Hombres. Total habitantes. Personas. ,2024,114.0
,,Adahuesca. Mujeres. Total habitantes. Personas. ,2024,93.0
,,Adalia. Total. Total habitantes. Personas. ,2024,50.0
,,Adalia. Hombres. Total habitantes. Personas. ,2024,30.0
,,Adalia. Mujeres. Total habitantes. Personas. ,2024,20.0
,,Adamuz. Total. Total habitantes. Personas. ,2024,4091.0
,,Adamuz. Hombres. Total habitantes. Personas. ,2024,2067.0
,,Adamuz. Mujeres. Total habitantes. Personas. ,2024,2024.0
,,Adanero. Total. Total habitantes. Personas. ,2024,208.0
,,Adanero. Hombres. Total habitantes. Personas. ,2024,120.0
,,Adanero. Mujeres. Total habitantes. Personas. ,2024,88.0
,,Adeje. Total. Total habitantes. Personas. ,2024,50549.0
,,Adeje. Hombres. Total habitantes. Personas. ,2024,25283.0
,,Adeje. Mujeres. Total habitantes. Personas. ,2024,25266.0
,,Ademuz. Total. Total habitantes. Personas. ,2024,1004.0
,,Ademuz. Hombres. Total habitantes. Personas. ,2024,538.0
,,Ademuz. Mujeres. Total habitantes. Personas. ,2024,466.0
,,Adiós. Total. Total habitantes. Personas. ,2024,191.0
,,Adiós. Hombres. Total habitantes. Personas. ,2024,103.0
,,Adiós. Mujeres. Total habitantes. Personas. ,2024,88.0
,,Adobes. Total. Total habitantes. Personas. ,2024,28.0
,,Adobes. Hombres. Total habitantes. Personas. ,2024,17.0
,,Adobes. Mujeres. Total habitantes. Personas. ,2024,11.0
,,Ador. Total. Total habitantes. Personas. ,2024,1729.0
,,Ador. Hombres. Total habitantes. Personas. ,2024,916.0
,,Ador. Mujeres. Total habitantes. Personas. ,2024,813.0
,,Adra. Total. Total habitantes. Personas. ,2024,25515.0
,,Adra. Hombres. Total habitantes. Personas. ,2024,13049.0
,,Adra. Mujeres. Total habitantes. Personas. ,2024,12466.0
,,Adrada de Haza. Total. Total habitantes. Personas. ,2024,205.0
,,Adrada de Haza. Hombres. Total habitantes. Personas. ,2024,99.0
,,Adrada de Haza. Mujeres. Total habitantes. Personas. ,2024,106.0
,,Adrada de Pirón. Total. Total habitantes. Personas. ,2024,40.0
,,Adrada de Pirón. Hombres. Total habitantes. Personas. ,2024,22.0
,,Adrada de Pirón. Mujeres. Total habitantes. Personas. ,2024,18.0
,,"Adrada, La. Total. Total habitantes. Personas. ",2024,2796.0
,,"Adrada, La. Hombres. Total habitantes. Personas. ",2024,1428.0
,,"Adrada, La. Mujeres. Total habitantes. Personas. ",2024,1368.0
,,Adradas. Total. Total habitantes. Personas. ,2024,58.0
,,Adradas. Hombres. Total habitantes. Personas. ,2024,33.0
,,Adradas. Mujeres. Total habitantes. Personas. ,2024,25.0
,,Adrados. Total. Total habitantes. Personas. ,2024,123.0
,,Adrados. Hombres. Total habitantes. Personas. ,2024,75.0
,,Adrados. Mujeres. Total habitantes. Personas. ,2024,48.0
,,Aduna. Total. Total habitantes. Personas. ,2024,499.0
,,Aduna. Hombres. Total habitantes. Personas. ,2024,268.0
,,Aduna. Mujeres. Total habitantes. Personas. ,2024,231.0
,,Agaete. Total. Total habitantes. Personas. ,2024,5670.0
,,Agaete. Hombres. Total habitantes. Personas. ,2024,2841.0
,,Agaete. Mujeres. Total habitantes. Personas. ,2024,2829.0
,,Agallas. Total. Total habitantes. Personas. ,2024,132.0
,,Agallas. Hombres. Total habitantes. Personas. ,2024,74.0
,,Agallas. Mujeres. Total habitantes. Personas. ,2024,58.0
,,Àger. Total. Total habitantes. Personas. ,2024,602.0
,,Àger. Hombres. Total habitantes. Personas. ,2024,326.0
,,Àger. Mujeres. Total habitantes. Personas. ,2024,276.0
,,Agolada. Total. Total habitantes. Personas. ,2024,2282.0
,,Agolada. Hombres. Total habitantes. Personas. ,2024,1150.0
,,Agolada. Mujeres. Total habitantes. Personas. ,2024,1132.0
,,Agón. Total. Total habitantes. Personas. ,2024,133.0
,,Agón. Hombres. Total habitantes. Personas. ,2024,76.0
,,Agón. Mujeres. Total habitantes. Personas. ,2024,57.0
,,Agoncillo. Total. Total habitantes. Personas. ,2024,1314.0
,,Agoncillo. Hombres. Total habitantes. Personas. ,2024,720.0
,,Agoncillo. Mujeres. Total habitantes. Personas. ,2024,594.0
,,Agost. Total. Total habitantes. Personas. ,2024,5107.0
,,Agost. Hombres. Total habitantes. Personas. ,2024,2586.0
,,Agost. Mujeres. Total habitantes. Personas. ,2024,2521.0
,,Agramunt. Total. Total habitantes. Personas. ,2024,5629.0
,,Agramunt. Hombres. Total habitantes. Personas. ,2024,2862.0
,,Agramunt. Mujeres. Total habitantes. Personas. ,2024,2767.0
,,Ágreda. Total. Total habitantes. Personas. ,2024,3094.0
,,Ágreda. Hombres. Total habitantes. Personas. ,2024,1594.0
,,Ágreda. Mujeres. Total habitantes. Personas. ,2024,1500.0
,,Agres. Total. Total habitantes. Personas. ,2024,610.0
,,Agres. Hombres. Total habitantes. Personas. ,2024,327.0
,,Agres. Mujeres. Total habitantes. Personas. ,2024,283.0
,,Agrón. Total. Total habitantes. Personas. ,2024,244.0
,,Agrón. Hombres. Total habitantes. Personas. ,2024,125.0
,,Agrón. Mujeres. Total habitantes. Personas. ,2024,119.0
,,Aguadulce. Total. Total habitantes. Personas. ,2024,2042.0
,,Aguadulce. Hombres. Total habitantes. Personas. ,2024,1009.0
,,Aguadulce. Mujeres. Total habitantes. Personas. ,2024,1033.0
,,Aguarón. Total. Total habitantes. Personas. ,2024,599.0
,,Aguarón. Hombres. Total habitantes. Personas. ,2024,320.0
,,Aguarón. Mujeres. Total habitantes. Personas. ,2024,279.0
,,Aguas Cándidas. Total. Total habitantes. Personas. ,2024,59.0
,,Aguas Cándidas. Hombres. Total habitantes. Personas. ,2024,40.0
,,Aguas Cándidas. Mujeres. Total habitantes. Personas. ,2024,19.0
,,Aguasal. Total. Total habitantes. Personas. ,2024,19.0
,,Aguasal. Hombres. Total habitantes. Personas. ,2024,12.0
,,Aguasal. Mujeres. Total habitantes. Personas. ,2024,7.0
,,Aguatón. Total. Total habitantes. Personas. ,2024,17.0
,,Aguatón. Hombres. Total habitantes. Personas. ,2024,7.0
,,Aguatón. Mujeres. Total habitantes. Personas. ,2024,10.0
,,Aguaviva. Total. Total habitantes. Personas. ,2024,547.0
,,Aguaviva. Hombres. Total habitantes. Personas. ,2024,261.0
,,Aguaviva. Mujeres. Total habitantes. Personas. ,2024,286.0
,,Agudo. Total. Total habitantes. Personas. ,2024,1604.0
,,Agudo. Hombres. Total habitantes. Personas. ,2024,808.0
,,Agudo. Mujeres. Total habitantes. Personas. ,2024,796.0
,,Agüero. Total. Total habitantes. Personas. ,2024,140.0
,,Agüero. Hombres. Total habitantes. Personas. ,2024,83.0
,,Agüero. Mujeres. Total habitantes. Personas. ,2024,57.0
,,Aguilafuente. Total. Total habitantes. Personas. ,2024,564.0
,,Aguilafuente. Hombres. Total habitantes. Personas. ,2024,285.0
,,Aguilafuente. Mujeres. Total habitantes. Personas. ,2024,279.0
,,Aguilar de Bureba. Total. Total habitantes. Personas. ,2024,50.0
,,Aguilar de Bureba. Hombres. Total habitantes. Personas. ,2024,32.0
,,Aguilar de Bureba. Mujeres. Total habitantes. Personas. ,2024,18.0
,,Aguilar de Campoo. Total. Total habitantes. Personas. ,2024,6823.0
,,Aguilar de Campoo. Hombres. Total habitantes. Personas. ,2024,3304.0
,,Aguilar de Campoo. Mujeres. Total habitantes. Personas. ,2024,3519.0
,,Aguilar de Campos. Total. Total habitantes. Personas. ,2024,259.0
,,Aguilar de Campos. Hombres. Total habitantes. Personas. ,2024,156.0
,,Aguilar de Campos. Mujeres. Total habitantes. Personas. ,2024,103.0
,,Aguilar de Codés. Total. Total habitantes. Personas. ,2024,75.0
,,Aguilar de Codés. Hombres. Total habitantes. Personas. ,2024,41.0
,,Aguilar de Codés. Mujeres. Total habitantes. Personas. ,2024,34.0
,,Aguilar de la Frontera. Total. Total habitantes. Personas. ,2024,13210.0
,,Aguilar de la Frontera. Hombres. Total habitantes. Personas. ,2024,6553.0
,,Aguilar de la Frontera. Mujeres. Total habitantes. Personas. ,2024,6657.0
,,Aguilar de Segarra. Total. Total habitantes. Personas. ,2024,291.0
,,Aguilar de Segarra. Hombres. Total habitantes. Personas. ,2024,156.0
,,Aguilar de Segarra. Mujeres. Total habitantes. Personas. ,2024,135.0
,,Aguilar del Alfambra. Total. Total habitantes. Personas. ,2024,82.0
,,Aguilar del Alfambra. Hombres. Total habitantes. Personas. ,2024,45.0
,,Aguilar del Alfambra. Mujeres. Total habitantes. Personas. ,2024,37.0
,,Aguilar del Río Alhama. Total. Total habitantes. Personas. ,2024,426.0
,,Aguilar del Río Alhama. Hombres. Total habitantes. Personas. ,2024,214.0
,,Aguilar del Río Alhama. Mujeres. Total habitantes. Personas. ,2024,212.0
,,Águilas. Total. Total habitantes. Personas. ,2024,37417.0
,,Águilas. Hombres. Total habitantes. Personas. ,2024,18586.0
,,Águilas. Mujeres. Total habitantes. Personas. ,2024,18831.0
,,Aguilón. Total. Total habitantes. Personas. ,2024,273.0
,,Aguilón. Hombres. Total habitantes. Personas. ,2024,149.0
,,Aguilón. Mujeres. Total habitantes. Personas. ,2024,124.0
,,Agüimes. Total. Total habitantes. Personas. ,2024,33179.0
,,Agüimes. Hombres. Total habitantes. Personas. ,2024,16662.0
,,Agüimes. Mujeres. Total habitantes. Personas. ,2024,16517.0
,,Agullana. Total. Total habitantes. Personas. ,2024,909.0
,,Agullana. Hombres. Total habitantes. Personas. ,2024,448.0
,,Agullana. Mujeres. Total habitantes. Personas. ,2024,461.0
,,Agullent. Total. Total habitantes. Personas. ,2024,2416.0
,,Agullent. Hombres. Total habitantes. Personas. ,2024,1202.0
,,Agullent. Mujeres. Total habitantes. Personas. ,2024,1214.0
,,Agulo. Total. Total habitantes. Personas. ,2024,1108.0
,,Agulo. Hombres. Total habitantes. Personas. ,2024,559.0
,,Agulo. Mujeres. Total habitantes. Personas. ,2024,549.0
,,Agurain/Salvatierra. Total. Total habitantes. Personas. ,2024,5155.0
,,Agurain/Salvatierra. Hombres. Total habitantes. Personas. ,2024,2601.0
,,Agurain/Salvatierra. Mujeres. Total habitantes. Personas. ,2024,2554.0
,,Ahigal. Total. Total habitantes. Personas. ,2024,1349.0
,,Ahigal. Hombres. Total habitantes. Personas. ,2024,681.0
,,Ahigal. Mujeres. Total habitantes. Personas. ,2024,668.0
,,Ahigal de los Aceiteros. Total. Total habitantes. Personas. ,2024,88.0
,,Ahigal de los Aceiteros. Hombres. Total habitantes. Personas. ,2024,46.0
,,Ahigal de los Aceiteros. Mujeres. Total habitantes. Personas. ,2024,42.0
,,Ahigal de Villarino. Total. Total habitantes. Personas. ,2024,31.0
,,Ahigal de Villarino. Hombres. Total habitantes. Personas. ,2024,18.0
,,Ahigal de Villarino. Mujeres. Total habitantes. Personas. ,2024,13.0
,,Ahillones. Total. Total habitantes. Personas. ,2024,784.0
,,Ahillones. Hombres. Total habitantes. Personas. ,2024,395.0
,,Ahillones. Mujeres. Total habitantes. Personas. ,2024,389.0
,,Aia. Total. Total habitantes. Personas. ,2024,2141.0
,,Aia. Hombres. Total habitantes. Personas. ,2024,1122.0
,,Aia. Mujeres. Total habitantes. Personas. ,2024,1019.0
,,Aibar/Oibar. Total. Total habitantes. Personas. ,2024,762.0
,,Aibar/Oibar. Hombres. Total habitantes. Personas. ,2024,411.0
,,Aibar/Oibar. Mujeres. Total habitantes. Personas. ,2024,351.0
,,Aielo de Malferit. Total. Total habitantes. Personas. ,2024,4599.0
,,Aielo de Malferit. Hombres. Total habitantes. Personas. ,2024,2313.0
,,Aielo de Malferit. Mujeres. Total habitantes. Personas. ,2024,2286.0
,,Aielo de Rugat. Total. Total habitantes. Personas. ,2024,160.0
,,Aielo de Rugat. Hombres. Total habitantes. Personas. ,2024,87.0
,,Aielo de Rugat. Mujeres. Total habitantes. Personas. ,2024,73.0
,,Aiguafreda. Total. Total habitantes. Personas. ,2024,2576.0
,,Aiguafreda. Hombres. Total habitantes. Personas. ,2024,1257.0
,,Aiguafreda. Mujeres. Total habitantes. Personas. ,2024,1319.0
,,Aiguamúrcia. Total. Total habitantes. Personas. ,2024,957.0
,,Aiguamúrcia. Hombres. Total habitantes. Personas. ,2024,502.0
,,Aiguamúrcia. Mujeres. Total habitantes. Personas. ,2024,455.0
,,Aiguaviva. Total. Total habitantes. Personas. ,2024,802.0
,,Aiguaviva. Hombres. Total habitantes. Personas. ,2024,403.0
,,Aiguaviva. Mujeres. Total habitantes. Personas. ,2024,399.0
,,Aigües. Total. Total habitantes. Personas. ,2024,1189.0
,,Aigües. Hombres. Total habitantes. Personas. ,2024,598.0
,,Aigües. Mujeres. Total habitantes. Personas. ,2024,591.0
,,Aín. Total. Total habitantes. Personas. ,2024,131.0
,,Aín. Hombres. Total habitantes. Personas. ,2024,68.0
,,Aín. Mujeres. Total habitantes. Personas. ,2024,63.0
,,Aínsa-Sobrarbe. Total. Total habitantes. Personas. ,2024,2317.0
,,Aínsa-Sobrarbe. Hombres. Total habitantes. Personas. ,2024,1161.0
,,Aínsa-Sobrarbe. Mujeres. Total habitantes. Personas. ,2024,1156.0
,,Ainzón. Total. Total habitantes. Personas. ,2024,1043.0
,,Ainzón. Hombres. Total habitantes. Personas. ,2024,549.0
,,Ainzón. Mujeres. Total habitantes. Personas. ,2024,494.0
,,Aisa. Total. Total habitantes. Personas. ,2024,313.0
,,Aisa. Hombres. Total habitantes. Personas. ,2024,164.0
,,Aisa. Mujeres. Total habitantes. Personas. ,2024,149.0
,,Aitona. Total. Total habitantes. Personas. ,2024,2603.0
,,Aitona. Hombres. Total habitantes. Personas. ,2024,1386.0
