osm_id,source_type,name,lat,lon,tags
node/29206752,node,Casa Manolo Cruz,28.5413436,-17.8122016,"{'bus': 'yes', 'name': 'Casa Manolo Cruz', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '209'}"
node/29207000,node,Tigalate Arriba B,28.5540789,-17.8012355,"{'bus': 'yes', 'name': 'Tigalate Arriba B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '963'}"
node/29208741,node,Manuel Crispín B,28.5665155,-17.7847242,"{'bus': 'yes', 'name': 'Manuel Crispín B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '233', 'shelter': 'no'}"
node/29208756,node,La Cruz B,28.5711881,-17.7800073,"{'bus': 'yes', 'name': 'La Cruz B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '234'}"
node/29208773,node,Belmaco,28.57397,-17.7778984,"{'bus': 'yes', 'name': 'Belmaco', 'public_transport': 'stop_position'}"
node/29208837,node,Casa Marcelo,28.5752811,-17.7872462,"{'bus': 'yes', 'name': 'Casa Marcelo', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '671'}"
node/29208862,node,La Casa Jalisco,28.5880232,-17.7715075,"{'bus': 'yes', 'name': 'La Casa Jalisco', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '195'}"
node/264979042,node,Mirador de Los Roques,28.1091258,-17.2146894,"{'bus': 'yes', 'name': 'Mirador de Los Roques', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/264980299,node,Roque de Agando,28.1073127,-17.2134894,"{'bus': 'yes', 'name': 'Roque de Agando', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/290656859,node,La Cabaña B,28.5844779,-17.7733181,"{'bus': 'yes', 'name': 'La Cabaña B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '237'}"
node/290659551,node,Iglesia Tigalate B,28.5506369,-17.8021519,"{'alt_name': 'Malpaises', 'bus': 'yes', 'name': 'Iglesia Tigalate B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '228'}"
node/290661464,node,Casa Augusto,28.5360039,-17.8152271,"{'bus': 'yes', 'name': 'Casa Augusto', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '212'}"
node/290708327,node,Iglesia Tigalate,28.5500291,-17.8030467,"{'alt_name': 'Malpaises', 'bus': 'yes', 'name': 'Iglesia Tigalate', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '206'}"
node/292851895,node,Panadero,28.6453292,-17.8863152,"{'bus': 'yes', 'name': 'Panadero', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '295'}"
node/294508170,node,Las Cabezadas,28.5024235,-17.8573781,"{'bus': 'yes', 'name': 'Las Cabezadas', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '683'}"
node/294516003,node,Bodegón Tamanca B,28.5966952,-17.8802524,"{'bus': 'yes', 'name': 'Bodegón Tamanca B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '640'}"
node/294516181,node,Mirador del Charco A,28.5351532,-17.8658139,"{'bus': 'yes', 'name': 'Mirador del Charco A', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '612'}"
node/294516290,node,La Fajana A,28.4964437,-17.8514028,"{'bench': 'yes', 'bin': 'no', 'bus': 'yes', 'name': 'La Fajana A', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '609', 'shelter': 'yes'}"
node/294831367,node,Las Norias B,28.6050276,-17.9074082,"{'bus': 'yes', 'name': 'Las Norias B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '593'}"
node/294831374,node,Canchas de Tenis B,28.598669,-17.90982,"{'bus': 'yes', 'name': 'Canchas de Tenis B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '592'}"
node/294835239,node,Las Martelas 2 B,28.6425217,-17.9100763,"{'bench': 'no', 'bin': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'lit': 'yes', 'name': 'Las Martelas 2 B', 'operator': 'Transportes Cabildo de La Palma', 'public_transport': 'platform', 'ref': '603', 'shelter': 'no', 'tactile_paving': 'no'}"
node/294835260,node,El Laurel,28.6344475,-17.9084662,"{'bench': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'El Laurel', 'operator': 'Transportes Cabildo de La Palma', 'public_transport': 'platform', 'ref': '572', 'shelter': 'no'}"
node/295039015,node,La Marina B,28.6388945,-17.9310123,"{'bus': 'yes', 'name': 'La Marina B', 'operator': 'TILP', 'public_transport': 'stop_position', 'ref': '979'}"
node/298765537,node,,28.6072051,-17.8831661,"{'bus': 'yes', 'public_transport': 'stop_position'}"
node/306195906,node,El Guro - Casa de la Seda,28.1071194,-17.3257429,"{'bus': 'yes', 'name': 'El Guro - Casa de la Seda', 'operator': 'GuaguaGomera S.A.U.', 'public_transport': 'stop_position'}"
node/306195946,node,El Palmar,28.0902097,-17.3362583,"{'bus': 'yes', 'name': 'El Palmar', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/306364569,node,,28.030661,-17.1903103,"{'bus': 'yes', 'public_transport': 'stop_position'}"
node/308257668,node,Casa de la Cultura,28.084176,-17.2411041,"{'bus': 'yes', 'name': 'Casa de la Cultura', 'public_transport': 'stop_position'}"
node/308257677,node,Imada,28.0860867,-17.2415287,"{'bus': 'yes', 'name': 'Imada', 'public_transport': 'stop_position'}"
node/315394504,node,Borbalán,28.087283,-17.3351435,"{'bus': 'yes', 'name': 'Borbalán', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/316528275,node,Arure,28.1314043,-17.3209288,"{'bus': 'yes', 'name': 'Arure', 'operator': 'GuaguaGomera S.A.U.', 'public_transport': 'stop_position'}"
node/316534432,node,Acardece,28.140024,-17.312158,"{'bus': 'yes', 'name': 'Acardece', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/317815938,node,La Paredes,28.0998006,-17.2470973,"{'bus': 'yes', 'name': 'La Paredes', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/318782086,node,Agulo,28.1855866,-17.1944533,"{'bus': 'yes', 'name': 'Agulo', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/319070707,node,,28.0575051,-17.2342332,"{'bus': 'yes', 'public_transport': 'stop_position'}"
node/319254423,node,El Retamal,28.1160238,-17.3122932,"{'bus': 'yes', 'name': 'El Retamal', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/319566595,node,Anden,28.1464719,-17.1990735,"{'bus': 'yes', 'name': 'Anden', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/320037097,node,,28.1955824,-17.2587041,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform', 'shelter': 'yes', 'tactile_paving': 'no'}"
node/320037292,node,Simancas,28.1849553,-17.2334661,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'covered': 'yes', 'highway': 'bus_stop', 'name': 'Simancas', 'public_transport': 'platform', 'shelter': 'yes'}"
node/320258244,node,Corral del Buey,28.0824632,-17.2417403,"{'bus': 'yes', 'name': 'Corral del Buey', 'public_transport': 'stop_position'}"
node/320987225,node,Igualero,28.1026117,-17.2505336,"{'bus': 'yes', 'name': 'Igualero', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/321005034,node,Casa Forestal,28.111256,-17.2636968,"{'bus': 'yes', 'name': 'Casa Forestal', 'public_transport': 'stop_position'}"
node/323135064,node,Chipude,28.1098166,-17.2815916,"{'bus': 'yes', 'name': 'Chipude', 'operator': 'Guaguagomera', 'public_transport': 'stop_position'}"
node/323135067,node,Chipude,28.10989,-17.2815131,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'lit': 'yes', 'name': 'Chipude', 'operator': 'Guaguagomera', 'public_transport': 'platform', 'shelter': 'yes', 'tactile_paving': 'no'}"
node/332058089,node,Igualero,28.1026495,-17.2504946,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Igualero', 'public_transport': 'platform', 'shelter': 'yes', 'tactile_paving': 'no'}"
